Company Name,ASX code,Date Delisted*,Reason
UXC LIMITED,UXC,29/02/2016,"As from the close of trading on Monday, 29 February 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
RIDDOCK INTERNATIONAL LIMITED,RIL,1/03/2016,"As from the commencement of trading on Tuesday, 1 March 2016, the abovementioned company has been removed from the Official List pursuant to Listing rule 17.12."
DRILLSEARCH ENERGY LIMITED,DLS,2/03/2016,"As from the close of trading on Monday, 1 March 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
PLANET PLATINUM LIMITED,PPN,9/03/2016,"As from the commencement of trading on Tuesday, 9 March 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
GLOBAL RESOURCE MASTERS FUND LIMITED,GRF,14/03/2016,"As from the close of trading on Friday, 11 March 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
IVS HOLDINGS LTD,IVS,15/03/2016,"As from the commencement of trading on Tuesday, 15 March 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
MAZU ALLIANCE LIMITED,MZU,22/03/2016,"As from the commencement of trading on Tuesday, 22 March 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
FREEHILL MINING LIMITED,FHM,23/03/2016,"As from the commencement of trading on Wednesday, 23 March 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
STIRLING PRODUCTS LIMITED,STI,23/03/2016,"As from the commencement of trading on Wednesday, 23 March 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
CAPE RANGE LIMITED,CAG,24/03/2016,"As from the commencement of trading on Thursday, 24 March 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
UXA RESOURCES LTD,UXA,29/03/2016,"As from the commencement of trading on Tuesday, 29 March 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
MAKO HYDROCARBONS LTD.,MKE,4/04/2016,"As from the commencement of trading on Monday, 4 April 2016, the abovementioned company has been removed from the Official List pursuant to Listing rule 17.12."
SYNERGY PLUS LIMITED,SNR,5/04/2016,"As from the commencement of trading on Tuesday, 5 April 2016, the abovementioned company has been removed from the Official List pursuant to Listing rule 17.12."
PREFERRED CAPITAL LIMITED,PCA,7/04/2016,"As from the close of trading Wednesday, 6 April 2016 the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
LASSETERS CORPORATION LIMITED,LAS,12/04/2016,"As from the commencement of trading on Tuesday, 12 April 2016, the abovementioned company has been removed from the Official List pursuant to Listing rule 17.12."
VONEX LIMITED,VNX,12/04/2016,"As from the commencement of trading on Tuesday, 12 April 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
REDCLIFFE RESOURCES LIMITED,RCF,13/04/2016,"As from the close of trading on Wednesday, 13 April 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
AQUARIUS PLATINUM LIMITED,AQP,14/04/2016,"As from the close of trading on Wednesday, 13 April 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
SEDGMAN LIMITED,SDM,15/04/2016,"As from the close of trading on Friday, 15 April 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
RECALL HOLDINGS LIMITED,REC,3/05/2016,"As from the close of trading on Tuesday, 3 May 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
COLORPAK LIMITED,CKL,4/05/2016,"As from the close of trading on Tuesday, 3 May 2016 the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
APOLLO SERIES 2007-1E TRUST,AOY,16/05/2016,"As from the close of trading on Monday, 16 May 2016 the abovementioned Trust will be removed from the Official List pursuant to Listing rule 17.11."
MONGOLIAN RESOURCE CORPORATION LTD,MUB,16/05/2016,"As from the commencement of trading on Monday, 16 May 2016, the abovementioned company has been removed from the Official List pursuant to Listing rule 17.12."
PHILLIPS RIVER MINING LIMITED,PRH,23/05/2016,"As from the commencement of trading on Monday, 23 May 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
NEW ZEALAND OIL & GAS LIMITED,NZO,31/05/2016,"As from the close of trading on Tuesday, 31 May 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
FLAT GLASS INDUSTRIES LIMITED,FGI,2/06/2016,"As from the close of trading on Thursday, 2 June 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
NEDERLANDSE WATERSCHAPSBANK N.V.,NWB,2/06/2016,"As from the close of trading on Wednesday, 1 June 2016, the abovementioned entity was removed from the Official List pursuant to Listing rule 17.11."
SHINHAN BANK,SHB,2/06/2016,"As from the close of trading on Wednesday, 1 June 2016, the abovementioned entity was removed from the Official List pursuant to Listing rule 17.11."
UNITY MINING LIMITED,UML,6/06/2016,As from the close of trading on Monday 6 June 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11.
SPHERE MINERALS LIMITED,SPH,9/06/2016,"As from the close of trading on Wednesday, 8 June 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.14."
ETHANE PIPELINE INCOME FUND,EPX,16/06/2016,"As from the close of trading on Thursday, 16 June 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
COATS GROUP PLC,CGW,24/06/2016,As from the close of trading on Friday 24 June 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11.
BROADSPECTRUM LIMITED,BRS,28/06/2016,"As from the close of trading on Tuesday, 28 June 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
PUMA MASTERFUND H-1,PUH,28/06/2016,"As from the close of trading on Monday, 27 June 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
BANK OF CHINA LIMITED,BKC,30/06/2016,"As from the close of trading on Thursday, 30 June 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
BRAZIRON LIMITED,BZL,30/06/2016,"As from the close of trading on Thursday, 30 June 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
WESTPAC TPS TRUST,WCT,30/06/2016,"As from the close of trading on Thursday, 30 June 2016 the abovementioned trust will be removed from the Official List pursuant to Listing rule 17.11."
LONESTAR RESOURCES LIMITED,LNR,7/07/2016,"As from the close of trading on Wednesday, 6 July 2016 the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
DNB NOR BOLIGKREDITT AS,DBN,14/07/2016,"As from the close of trading on Thursday, 14 July 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11"
PACIFIC BRANDS LIMITED,PBG,19/07/2016,"As from the close of trading on Monday, 18 July 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
FRANKLAND RIVER OLIVE COMPANY LIMITED,FLR,20/07/2016,"As from the close of trading on Wednesday, 20 July 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
HARVEY TRUST 2006-1,HTR,20/07/2016,"As from the close of trading on Wednesday, 20 July 2016, the abovementioned trust will be removed from the Official List pursuant to Listing rule 17.11."
HARVEST MINERALS LTD,HMI,22/07/2016,"As from the close of trading on Friday, 22 July 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ADITYA BIRLA MINERALS LIMITED,ABY,3/08/2016,"As from the close of trading on today, 3 August 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14"
FIRSTMAC BOND SERIES 3-2005 TRUST,FMM,11/08/2016,"As from the close of trading on Wednesday, 10 August 2016, the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
ELSMORE RESOURCES LTD,ELR,15/08/2016,"As from the close of trading on Monday,15 August 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
ECHOICE LIMITED,ECO,16/08/2016,"As from the close of trading on Tuesday, 16 August 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ILLAWARRA SERIES 2006-1 RMBS TRUST,ILA,17/08/2016,"As from the close of trading on Tuesday, 16 August 2016, the abovementioned trust will be removed from the Official List pursuant to Listing rule 17.11."
SECURITISED AUSTRALIAN MORTGAGE TRUST 2008-1,SAJ,19/08/2016,"As from the close of trading on Thursday, 18 August 2016, the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
CRUSADE GLOBAL TRUST NO. 2 OF 2006,CTU,24/08/2016,"As from the close of trading on Wednesday, 24 August 2016 the abovementioned trust will be removed from the Official List pursuant to Listing rule 17.11."
ASCIANO LIMITED,AIO,25/08/2016,"As from the close of trading on Thursday, 25 August 2016 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
AUSTRALIAN MASTERS CORPORATE BOND FUND NO 5 LIMITED,AKY,29/08/2016,"As from the close of trading on Friday, 26 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
SERIES 2012-1E REDS EHP TRUST,RFA,29/08/2016,"As from the close of trading on Friday, 26 August 2016, the abovementioned Trust was removed from the Official List pursuant to Listing rule 17.11."
REDBANK ENERGY LIMITED,AEJ,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
AUSTRALIA NEW AGRIBUSINESS & CHEMICAL GROUP LTD,ANB,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
BLUENERGY GROUP LIMITED,BEG,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
BANDANNA ENERGY LIMITED,BND,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
BLACK OAK MINERALS LIMITED,BOK,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
CONTINENTAL COAL LIMITED,CCC,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
DSHE HOLDINGS LIMITED,DSH,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
FIRESTONE ENERGY LIMITED,FSE,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
FOX RESOURCES LIMITED,FXR,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
GREEN INVEST LIMITED,GNV,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
HODGES RESOURCES LIMITED,HDG,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
KTL TECHNOLOGIES LIMITED,KTL,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
MIRABELA NICKEL LIMITED,MBN,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
PARAMOUNT MINING CORPORATION LTD,PCP,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
PLUTON RESOURCES LIMITED,PLV,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
SINO AUSTRALIA OIL & GAS LIMITED,SAO,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
SINO-EXCEL ENERGY LIMITED,SLE,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
SOLIMAR ENERGY LIMITED.,SXS,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
THO SERVICES LIMITED,THO,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
VOCATION LIMITED,VET,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
THE WATERBERG COAL COMPANY LIMITED,WCC,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
WDS LIMITED,WDS,30/08/2016,"As from the close of trading on Monday, 29 August 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
GENERAL MINING CORPORATION LIMITED,GMM,2/09/2016,"As from the close of trading on Friday, 2 September 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
HYPO REAL ESTATE BANK INTERNATIONAL AKTIENGESELLSCHAFT,HYP,12/09/2016,"As from the close of trading on Friday, 9 September 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
NUPLEX INDUSTRIES LIMITED.,NPX,14/09/2016,"As from the close of trading on Tuesday, 13 September 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
AUSENCO LIMITED,AAX,16/09/2016,"As from the close of trading on Friday, 16 September 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
RESIMAC TRIOMPHE TRUST,RTT,20/09/2016,"As from the close of trading on Monday, 19 September 2016, the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
ATLANTIC LIMITED,ATI,27/09/2016,"As from the close of trading on Tuesday 27 September 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
FOSSE MASTER ISSUER PLC,FOB,27/09/2016,"As from the close of trading on Monday, 26 September 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
RAMS MORTGAGE SECURITIES TRUST SERIES 2007-3,RMF,27/09/2016,"As from the close of trading on Tuesday, 27 September 2016, the abovementioned trust will be removed from the Official List pursuant to Listing rule 17.11."
PATTIES FOODS LTD,PFL,28/09/2016,"As from the close of trading on Tuesday, 27 September 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
RICHFIELD INTERNATIONAL LIMITED,RIS,29/09/2016,"As from the close of trading on Thursday, 29 September 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
MEDIVAC LIMITED,MDV,3/10/2016,"As from the close of trading on Monday, 3 October 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
NEWHAVEN HOTELS LIMITED,NHH,6/10/2016,"As from the close of trading on Thursday, 6 October 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
DIVERSA LIMITED,DVA,7/10/2016,"As from the close of trading on Friday, 7 October 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
GRYPHON MINERALS LIMITED,GRY,13/10/2016,"As from the close of trading on Thursday, 13 October 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ALCOA INC.,AAI,17/10/2016,"As from the close of trading on Monday, 17 October 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
RENAISSANCE MINERALS LIMITED,RNS,19/10/2016,"As from the close of trading on Wednesday, 19 October 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
SCOTGOLD RESOURCES LIMITED,SGZ,21/10/2016,"As from the close of trading on Friday, 21 October 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
UNITY PACIFIC GROUP,UPG,27/10/2016,"As from the close of trading on Thursday, 27 October 2016 the abovementioned group will be removed from the Official List pursuant to Listing rule 17.14."
GALILEO JAPAN TRUST,GJT,31/10/2016,"As from the close of trading on Monday, 31 October 2016, the abovementioned trust will be removed from the Official List pursuant to Listing rule 17.11."
GPT METRO OFFICE FUND,GMF,2/11/2016,"As from the close of trading on Tuesday, 1 November 2016, the abovementioned fund was removed from the Official List pursuant to Listing rule 17.14."
ONTHEHOUSE HOLDINGS LIMITED,OTH,4/11/2016,"As from the close of trading on Friday, 4 November 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
PAWNEE ENERGY LIMITED,PAW,22/11/2016,"As from the commencement of trading on Tuesday, 22 November 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
PAYCE CONSOLIDATED LIMITED,PAY,29/11/2016,"As from the close of trading on Tuesday, 29 November 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
PUMA MASTERFUND S-6,PUD,30/11/2016,"As from the close of trading on Tuesday, 29 November 2016, the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
THINKSMART LIMITED,TSM,6/12/2016,"As from the close of trading on Tuesday, 6 December 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
WINDWARD RESOURCES LTD,WIN,7/12/2016,"As from the close of trading on Wednesday, 7 December 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
INTECQ LIMITED,ITQ,19/12/2016,"As from the close of trading on Monday, 19 December 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
VITACO HOLDINGS LIMITED,VIT,19/12/2016,"As from the close of trading on Friday, 16 December 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
BIGAIR GROUP LIMITED,BGL,22/12/2016,"As from the close of trading on Wednesday, 21 December 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
FANTASTIC HOLDINGS LIMITED,FAN,22/12/2016,"As from the close of trading on Wednesday, 21 December 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
ASG GROUP LIMITED,ASZ,23/12/2016,"As from the close of trading on Friday, 23 December 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
SAI GLOBAL LIMITED,SAI,28/12/2016,"As from the close of trading on Wednesday, 28 December 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
VODAFONE GROUP PLC,VPL,28/12/2016,"As from the close of trading on Wednesday, 28 December 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
AMP CAPITAL CHINA GROWTH FUND,AGF,30/12/2016,"As from the close of trading on Friday, 30 December 2016, the abovementioned fund will be removed from the Official List pursuant to Listing rule 17.11."
