As of*,Old details,,New details,
2/11/2011,GXG,Green X Global Limited,MZU,Mazu Alliance Limited 
31/10/2011,PRH,Phillips River Mining NL,PRH ,Phillips River Mining Limited 
31/10/2011,HCG,Helicon Group Limited,CGP,Consegna Group Limited 
25/10/2011,UNX,Uranex NL   ,UNX,Uranex Limited 
21/10/2011,DUL,Dulhunty Power Limited,EGY,Energy Technologies Limited
18/10/2011,WGP,Westralian Gas and Power Limited   ,TTE,Titan Energy Ltd 
29/09/2011,IHF,ING Real Estate Healthcare Fund,GHC,Generation Healthcare REIT 
28/09/2011,OLE,Olea Australis Limited,CUG,Crucible Gold Limited 
27/09/2011,EVG,EnviroGold Limited,PGI,PanTerra Gold Limited 
16/09/2011,BOE,Boss Energy Limited,BOE,Boss Resources Limited
16/09/2011,ENK,European Nickel PLC,ENK,ENK PLC 
16/09/2011,III,Icon Resources Ltd,CNQ,Carbine Tungsten Limited 
15/09/2011,TTR,Tectonic Resources NL,PRH,Phillips River Mining NL
8/09/2011,SVC,Shell Villages and Resorts Limited,SVC,SVC Group Limited
31/08/2011,ASQ,ASQ Financial Group Limited,CGQ,Consolidated Steel Group Limited
29/08/2011,KSX,KarmelSonix Ltd,ISN,iSonea Limited 
23/08/2011,QUB,Qube Logistics,QUB,Qube Logistics Holdings Limited 
19/08/2011,MHL,Monitor Energy Limited,OGY,Orca Energy Limited 
11/08/2011,INP,Innamincka Petroleum Limited,ACN,Acer Energy Limited 
10/08/2011,DSF,DSF International Holdings Limited,NIU,Niuminco Group Limited 
5/08/2011,TUC,Territory Uranium Company Limited,TUC,TUC Resources Limited 
5/08/2011,MOD,Medical Corporation Australasia Limited   ,MOD,MOD Resources Limited 
3/08/2011,GOT,Groote Resources Limited,NTM,Northern Manganese Limited 
27/07/2011,IPP,IPGA Limited,IPP,iProperty Group Limited 
19/07/2011,NTR,NT Resources Ltd,EQU,Equator Resources Ltd 
19/07/2011,GPM,GEO Property Group,VLW,Villa World Group 
19/07/2011,AAO,Australasia Consolidated Limited,AAO,Adept Solutions Limited  
18/07/2011,NAL,Norwood Abbey Limited,SLE,Sino-Excel Energy Limited 
18/07/2011,MBA,Mobileactive Limited,MBE,Mobile Embrace Limited 
18/07/2011,URM,Uramet Minerals Limited,IZM,Intercept Minerals Ltd 
7/07/2011,OGL,Overseas & General Limited,OGL,OGL Resources Limited 
7/07/2011,GBM,Greater Bendigo Gold Mines Limited,GBM ,GBM Gold Ltd 
1/07/2011,BOD ,bioMD Limited,AHZ,Allied Healthcare Group Ltd 
27/06/2011,QTI,Queensland Trustees and Investment Limited,TAU,Trustees Australia Limited 
24/06/2011,CKR,Cockatoo Ridge Wines Limited,CRW,CRW Holdings Limited 
23/06/2011,SRR,Shaw River Resources Limited,SRR,Shaw River Manganese Limited 
21/06/2011,ALD,Allied Gold Limited,ALD,Allied Gold Mining PLC 
10/06/2011,FUT,Future Corporation Australia Limited   ,OTE,Otis Energy Limited 
9/06/2011,CJF,China JXY Food Limited,CJG,China JXY Group Limited 
8/06/2011,BAA,Bailey Minerals NL,CPD,Condoto Platinum NL
6/06/2011,LOD,Lodestone Energy Limited,CBQ,Coalbank Limited
6/06/2011,CFR,Cluff Resources Pacific NL,TNR,Torian Resources NL
30/05/2011,ITS,ITS Capital Investments Ltd,YBR,Yellow Brick Road Holdings Limited 
27/05/2011,MSF,The Maryborough Sugar Factory Limited   ,MSF,MSF Sugar Limited 
24/05/2011,AEJ,Alinta Energy Limited,AEJ,Redbank Energy Limited
23/05/2011,USN,US Nickel Limited,KMC,Kalgoorlie Mining Company Ltd
20/05/2011,SWW,Solverdi Worldwide Limited  ,SWW,SWW Energy Limited
17/05/2011,CYU,China Yunnan Copper Australia Limited,CYU,Chinalco Yunnan Copper Resources Ltd
16/05/2011,ALG, Alamar Resources Limited,MUB,Mongolian Resource Corporation Ltd
11/05/2011,JAT,Jatoil Limited,JAT,Jatenergy Limited
10/05/2011,ATQ,Atomic Resources Limited,IEC,Intra Energy Corporation Limited 
9/05/2011,WGO,Waratah Gold Limited,WGO,Waratah Resources Limited
2/05/2011,WAN,West Australian Newspapers Holdings Limited,SWM,Seven West Media Limited
21/04/2011,PYM,Pryme Oil & Gas Limited,PYM,Pryme Energy Limited
21/04/2011,RHE,Rheochem PLC,LHD,Lochard Energy Group PLC
20/04/2011,VWM,Victory West Moly Limited,VWM,Victory West Metals Limited
12/04/2011,BWP,Bunnings Warehouse Property Trust,BWP,BWP Trust
7/04/2011,ABW,Aurora Sandringham Australian Equity Income Trust,ABW,Aurora Absolute Return Fund
6/04/2011,IOF,ING Office Fund,IOF,Investa Office Fund
5/04/2011,MCL,M2M Corporation Limited,FGF,First Growth Funds Limited
30/03/2011,XCD,Xceed Capital Limited,XCD,Xceed Resources Ltd
25/03/2011,IMP,Imperial Corporation Limited,EEG,Empire Energy Group Limited
24/03/2011,PEX,Peel Exploration Limited,PEX,Peel Mining Limited
24/03/2011,BKP,Baraka Petroleum Limited,BKP,Baraka Energy & Resources Limited
22/03/2011,BDI,Blina Diamonds NL,BDI,Blina Minerals NL
21/03/2011,AEJ,Alinta Energy Group,AEJ,Alinta Energy Limited
18/03/2011,ESN,Entellect Solutions Limited,ESN,Entellect Limited
17/03/2011,WCR,Winchester Resources Limited,KRA,Killara Resources Limited
15/03/2011,OFG,Over Fifty Group Limited,CNI,Centuria Capital Limited
15/03/2011,AUJ,Augustus Minerals Limited,HAS,Hastings Rare Metals Ltd
3/03/2011,KNL,Kagera Nickel Limited,KNL,Kibaran Nickel Limited
3/03/2011,RMC,RIMCapital Limited,CBS,Cabral Resources Limited
2/03/2011,CLU,Cloncurry Metals Limited,GRM,Global Resources Corporation Limited
1/03/2011,AGY,Argosy Minerals Inc,AGY,Argosy Minerals Limited
25/02/2011,RTL,RTL Corporation Limited,MOZ,Mozambi Coal Limited
24/02/2011,AEA,Altera Resources Limited,CKA,Cokal Limited
23/02/2011,AQG,Anatolia Mineral Developments Limited,AQG,Alacer Gold Corp.
23/02/2011,AGV,Australian Gold Investments Limited,QBL,Queensland Bauxite Limited
22/02/2011,SRQ,Straits Metals Limited,SRQ,Straits Resources Limited
18/02/2011,CWH,China West International Holdings Limited,CWH,CWH Resources Ltd
18/02/2011,ECE,E-Com Multi Limited,RRI,Rico Resources Limited
17/02/2011,EEE,Empire Beer Group Limited,CPZ,Car Parking Technologies Limited
17/02/2011,RND,Rand Mining NL,RND,Rand Mining Limited
17/02/2011,TBR,Tribune Resources NL,TBR,Tribune Resources Limited
16/02/2011,SRL,Straits Resources Limited,ICL,International Coal Holdings Limited
14/02/2011,VPE,Victoria Petroleum NL  ,SXY,Senex Energy Limited
8/02/2011,NTU,Northern Uranium Limited,NTU,Northern Minerals Limited
1/02/2011,CMW,Cromwell Group,CMW,Cromwell Property Group
28/01/2011,MUI ,Media Group International Limited,MUI ,MUI Corporation Limited
24/01/2011,BZM,Brazilian Metals Group Limited,BMG,Brazilian Metals Group Limited
24/01/2011,GPB,Global Properties Limited,AKP,Audio Pixels Holdings Limited
21/01/2011,MRY,Monteray Group Limited,MRY,Monteray Mining Group Ltd
20/01/2011,AGQ,Australian Motor Finance Group Limited,OEG,Orpheus Energy Limited
13/01/2011,SMZ ,Stirling Minerals Limited,AKI,African Iron Limited
7/01/2011,SVG, Saint Istvan Gold Limited,WFE,Winmar Resources Limited
