As of*,Old details,,New details,
21/02/2003,MOO,Monto Minerals NL,MOO,Monto Minerals Ltd
14/02/2003,TVS,Travelshop Limited,SLA,Solagran Limited
7/02/2003,BRN,Blue Ribbon Holdings Limited,AVF,Australian Value Funds Management Limited
5/02/2003,SMS,Simsmetal Limited,SMS,Sims Group Limited
29/01/2003,BPT,Beach Petroleum NL,BPT,Beach Petroleum Limited
29/01/2003,SGC,Sydney Gas Company NL,SGL,Sydney Gas Ltd
24/01/2003,HGO,Hillgrove Gold NL,HGO,Hillgrove Gold Limited
23/01/2003,MGD,Mt Grace Resources Limited,NWA,New World Alloys Limited
16/01/2003,HDN,Haddington International Resources Limited,HDN,Haddington Resources Limited
13/01/2003,EFN,Eftnet Technologies Limited,KLM,KLM Group Ltd
10/01/2003,FGR,Fraser Range Holdings Limited,AIM,Aim Resources Limited
9/01/2003,CBD,CBD Online Limited,CBD,CBD Energy Limited
2/01/2003,PAI,PI2 Limited,NWK,Network Limited
