As of*,Old details,,New details,
8/10/09,MSO , Mobilesoft Limited,CVY,Coventry Resources Limited
5/10/09,XEN, Xenolith Resources Limited,CPL,Coalspur Mines Limited
29/9/09,MKY , MKY Resources Ltd,CUU,Callabonna Uranium Ltd
23/9/09,DWY , Dwyka Resources Limited,NYO,Nyota Minerals Limited
23/9/09,QOL ,Queensland Ores Limited ,PMQ,Planet Metals Limited
17/9/09,CRS ,Croesus Mining NL ,SIR,Sirius Resources NL
16/9/09,WKL ,Western Kingfish Limited ,TTG,The Traffic Group Limited
14/9/09,CNM ,Carnegie Corporation Limited ,CWE,Carnegie Wave Energy Limited
9/9/09,AOP ,Apollo Life Sciences Limited ,AOP,Apollo Consolidated Limited
2/9/09,MLE ,Macquarie Leisure Trust Group ,AAD,Ardent Leisure Group
1/9/09,CLD ,Costarella Design Limited ,AJJ,Asian Centre for Liver Diseases and Transplantation Limited
1/9/09,SYG ,Synergy Equities Group Limited ,DMN,Datamotion Asia Pacific Limited
1/9/09,RRA ,RR Australia Limited ,TGA,Thorn Group Limited
26/8/09,KML ,Kangaroo Metals Limited ,KRL,Kangaroo Resources Limited
26/8/09,SPP ,Southern Pacific Petroleum NL ,LRC,Laguna Resources NL
19/8/09,OIF ,Orchard Industrial Property Fund,GOZ,Growthpoint Properties Australia
19/8/09,QGM,Queensland Gold and Minerals Limited,ORM,Orion Metals Limited
14/8/09,GLI ,GoldLink IncomePlus Limited ,BIV,Blue Capital Limited
12/8/09,ETC ,Entertainment Media & Telecoms Corp.Ltd ,NBS,Nexbis Limited
10/8/09,CXN ,ConnXion Limited ,CXN,ConnXion Ventures Limited
6/8/09,LAF ,Lafayette Mining Limited ,VOR,Voyager Resources Limited
28/7/09,BJT ,Babcock & Brown Japan Property Trust ,AJA,Astro Japan Property Trust
28/7/09,CAU ,Colltech Australia Limited ,HCT,Holista Colltech Limited
24/7/09,UNO,Uranio Limited ,MHC,Manhattan Corporation Limited
23/7/09,CNF ,Continental Capital Limited ,CCC,Continental Coal Limited
23/7/09,PIO ,Pioneer Nickel Limited,PIO,Pioneer Resources Limited
21/7/09,OLY ,Olympia Resources Limited ,MZI,Matilda Zircon Limited
20/7/09,CNN ,Cardia Technologies Limited ,CNN,Cardia Bioplastics Limited
16/7/09,RBM ,Redbank Mines Limited ,RCP,Redbank Copper Limited
13/7/09,RPC ,Repcol Limited ,RGD,RER Group Limited
8/7/09,AOS ,Advanced Ocular Systems Limited ,IFS,IFS Construction Services Ltd
7/7/09,AEP ,Allco Equity Partners Limited ,OCP,Oceania Capital Partners Limited
2/7/09,FDY ,Findlay Securities Limited ,INQ,Investorfirst Limited
30/6/09,LOD ,Lodestone Exploration Limited,LOD,Lodestone Energy Limited
24/6/09,GDR ,Goldstar Resources NL ,ORN,Orion Gold NL
22/6/09,PDO ,Paladio Group Limited ,DCG,Decmil Group Limited
17/6/09,HLE ,Harvest Living Limited ,MUI,Media Group International Limited
15/6/09,CLF ,Community Life Limited ,CLS,CL Asset Holdings Limited
15/6/09,SCE ,Suntech Environmental Group Limited ,AAK,Australia China Holdings Limited
11/6/09,GPN ,Greater Pacific Gold Limited ,PDY,Padbury Mining Limited
5/6/09,SIM ,Scimitar Resources Limited ,CXU,Cauldron Energy Limited
4/6/09,MFC ,Metals Finance Corp ,MFC,Metals Finance Limited
4/6/09,GBL ,Genesis Biomedical Ltd ,BRD,Black Ridge Mining Ltd
19/5/09,LFE ,Life Therapeutics Limited ,AKW,Arturus Capital Limited
18/5/09,NSL ,NSL Health Limited ,NSL,NSL Consolidated Limited
13/5/09,PPD ,Pan Palladium Ltd ,SXM,SA Metals Limited
12/5/09,FCP ,FCPB Investments Limited ,AKR,Astra Capital Limited
12/5/09,WMT ,Western Metals Ltd ,IDG,Indago Resources Ltd
8/5/09,IBA ,IBA Health Group Limited ,ISF,iSOFT Group Limited
4/5/09,BBW ,Babcock & Brown Wind Partners Group ,IFN,Infigen Energy
4/5/09,ANH ,Ansearch Limited ,WFM,Webfirm Group Limited
1/5/09,ORH ,Orient Resource Holdings Limited ,ORH,ORH Limited
30/4/09,ARN ,Australian Commercial Property Trust ,RBV,Rabinov Property Trust
30/4/09,BCM ,Babcock & Brown Capital Limited ,ERC,eircom Holdings Limited
30/4/09,FCL ,Futuris Corporation Limited ,ELD,Elders Limited
28/4/09,AAQ ,Australis Aquaculture Limited ,AAQ,AAQ Holdings Limited
20/4/09,ABJ ,Australian Biodiesel Group Limited ,SWW,Solverdi Worldwide Limited
16/4/09,TNL ,Tolhurst Group Limited ,ROB,Robe Australia Limited
14/4/09,LSB ,Mariner Credit Corporation Limited ,LSB,Pentagon Capital Limited
8/4/09,STC ,Stem Cell Sciences PLC ,STC,Asset Realisation Company PLC
30/3/09,BMO ,BMA Gold Limited ,GDO,Gold One International Limited
27/3/09,AXQ ,Allco Max Securities and Mortgage Trust ,MXQ,Max Trust
11/3/09,ERG ,ERG Limited ,VID,Videlli Limited
10/3/09,BEL ,Bentley International Limited ,BEL,Bentley Capital Limited
2/3/09,MAR ,Malachite Resources NL ,MAR,Malachite Resources Limited
18/2/09,ITE ,IT & e Limited ,RZR,Razor Risk Technologies Limited
16/2/09,IHG ,Intellect Holdings Limited ,EHG,Ellect Holdings Limited
13/2/09,RCH  ,Richfield Group Limited,VWM,Victory West Moly Limited
12/2/09,TAS ,Tasman Resources NL,TAS,Tasman Resources Ltd
10/2/09,EBI ,Everest Babcock & Brown Alternative Investment Trust,AIQ,Alternative Investment Trust
6/2/09,RNY ,Reckson New York Property Trust ,RNY,RNY Property Trust
5/2/09,AFR ,African Energy Resources (Guernsey) Limited,AFR,African Energy Resources Limited
4/2/09,MBI ,Mobi Limited ,HTC,Hostech Limited
28/1/09,JUT ,Jutt Holdings Limited ,VXR,Venturex Resources Limited
19/1/09,EBB ,Everest Babcock & Brown Limited,EFG,Everest Financial Group Limited
19/1/09,CEC ,Coneco Limited ,WWG,World Wide Entertainment Group Limited
15/1/09,MIT ,Mariner Pipeline Income Fund ,EPX,Ethane Pipeline Income Fund
13/1/09,KAL ,Kalgoorlie-Boulder Resources Ltd ,MAT,Matsa Resources Limited
7/1/09,BBC ,Babcock & Brown Communities Group ,LLP,Lend Lease Primelife Group
2/1/09,ALE ,Alexanders Securities Limited,SRE,Stirling Resources Limited
