As of*,Old details,,New details,
4/12/2017,UEQ,Uranium Equities Limited,DEV,Devex Resources Limited
1/12/2017,PRR,Prima Biomed Ltd,IMM,Immutep Limited
1/12/2017,CTN,Contango MicroCap Limited,NSC,NAOS Small Cap Opportunities Company Limited
29/11/2017,NRT,Novogen Limited,KZA,Kazia Therapeutics Limited
29/11/2017,RCG,RCG Corporation Limited,AX1,Accent Group Limited
28/11/2017,MNE,Metallum Limited,KMT,Kopore Metals Limited
28/11/2017,POP,Primary Opinion Limited,LON,Longtable Group Limited
27/11/2017,MOT,Motopia Limited,CRO,Cirralto Limited
27/11/2017,CR8,Cre8tek Limited,FGO,Flamingo AI Limited
24/11/2017,OBL,Oil Basins Limited,EMP,Emperor Energy Limited
24/11/2017,USF,US Select Private Opportunities Fund I,CD1,Cordish Dixon Private Equity Fund I
24/11/2017,USG,US Select Private Opportunities Fund II,CD2,Cordish Dixon Private Equity Fund II
24/11/2017,USP,US Select Private Opportunities Fund III,CD3,Cordish Dixon Private Equity Fund III
21/11/2017,CAP,Carpentaria Exploration Limited,CAP,Carpentaria Resources Ltd
20/11/2017,HFA,HFA Holdings Limited,NGI,Navigator Global Investments Limited
16/11/2017,PNN,Pepinnini Minerals Limited,PNN,Pepinnini Lithium Limited
2/11/2017,LSN,Lawson Gold Limited,ODM,Odin Metals Limited
25/10/2017,ANO,Advanced Nano Technologies Limited,ANO,Advance NanoTek Limited
23/10/2017,EZA,EZA Corporation Ltd,SFM,Santa Fe Minerals Ltd
23/10/2017,ERX,Emperor Range Group Limited,FYA,Fortune Asia Group Ltd
20/10/2017,OEG,Orpheus Energy Limited,SNS,SenSen Networks Limited
20/10/2017,MAI,MainstreamBPO Limited,MAI,Mainstream Group Holdings Limited
17/10/2017,SKB,Skydive the Beach Group Limited,EXP,Experience Co Limited
10/10/2017,NAM,Namoi Cotton Co-Operative Limited,NAM,Namoi Cotton Limited
5/10/2017,AQU,Aquaint Capital Holdings Limited,SCL,Schrole Group Ltd
26/09/2017,AUG,Augend Ltd,AU8,AuMake International limited
25/09/2017,URI,"Uranium Resources, Inc",WWR,"Westwater Resources, Inc."
21/09/2017,GBX,GB Energy Limited,KLH,Kalia Limited
21/09/2017,CYY,Coventry Resources Limited,PXX,Polarx Limited
13/09/2017,WSG,Wolfstrike Rentals Group Limited,FEI,FE investments Group Limited
14/09/2017,SOP,SML Corporation Limited,SOP,Synertec Corporation Limited
12/09/2017,FOY,FOY Group Limited,IGE,Integrated Green Energy Solutions Ltd
11/09/2017,AVI,Avalon Minerals Ltd,STM,Sunstone Metals Ltd
11/09/2017,CBS,Cabral Resources Limited,BCB,Bowen Coking Coal Limited
4/09/2017,CCA,Chimpchange Limited,CCA,Change Financial Limited
1/09/2017,VSC,Vita Life Sciences Limited,VLS,Vita Life Sciences Limited
31/08/2017,YHL,Yanghao International Limited,MHD,Millennium Limited
28/08/2017,TND,Top End Minerals Limited,MYL,Myanmar Metals Limited
24/08/2017,SZG,Subzero Group Limited,SZG,A.C.N. 009 161 522 Limited
23/08/2017,APY,Azonto Petroleum Ltd,CE1,Calima Energy Limited
23/08/2017,WCP,WCP Resources Ltd,PLL,Piedmont Lithium Ltd
23/08/2017,BUA,Burrabulla Corporation Limited,PUR,Pursuit Minerals Ltd
15/08/2017,ARI,Arrium Limited,ARI,A.C.N. 004 410 833 Limited
10/08/2017,CBQ,Coalbank Limited,AUH,AustChina Holdings Limited
7/08/2017,LCG,Living Cities Development Group Limited,BIR,Birrabong Corporation Limited
19/07/2017,MIZ,Minera Gold Limited,TTM,Titan Minerals Limited
19/07/2017,EMC,Emefcy Group Limited,FLC,Fluence Corporation Limited
18/07/2017,AYA,Attila Resources Limited,NCZ,New Century Resources Limited
14/07/2017,VXL,Valence Industries Limited,QGL,Quantum Graphite Limited
14/07/2017,GRA,Graphite Corp Limited,NVX,Novonix Limited
6/07/2017,TSV,Transerv Energy Limited,WBE,Whitebark Energy Ltd
27/06/2017,CMT,Cott Oil and Gas Limited,EHX,EHR Resources Limited
26/06/2017,DYE,Dyesol Ltd,GSL,Greatcell Solar Limited
19/06/2017,AKK,Austin Exploration Limited,FPL,Fremont Petroleum Corporation Limited
15/06/2017,PNO,Pharmanet Group Limited,CAI,Calidus Resources Limted
13/06/2017,HGG,Henderson Group PLC,JHG,Janus Henderson Group PLC
13/06/2017,RHS,Reproductive Health Science Limited,RHS,RHS Limited
6/06/2017,ERJ,Enerji Ltd,VPR,Volt Power Group Limited
6/06/2017,HHL,Hunter Hall International Limited,PCG,Pengana Capital Group Limited
5/06/2017,NGE,New Guinea Energy Limited,NGE,NGE Capital Limted
5/06/2017,DKO,Dakota Minerals Limited,NLI,Novo Litio Ltd
1/06/2017,WGO,Waratah Resources Limited,MBM,Mobecom Limited
31/05/2017,DTX,Datetix Group Ltd,LVE,Love Group Global Ltd
30/05/2017,CYU,Chinalco Yunnan Copper Resources Ltd,AKN,Auking Mining Limited
29/05/2017,WMN,Western Mining Network Limited,EUC,European Cobalt Limited
26/05/2017,EQU,Equator Resources Limited,CO1,Cobalt One
25/05/2017,ENL,Eagle Nickel Limited,PM1,Pure Minerals Limited
23/05/2017,ORN,Orion Gold NL,ORN,Orion Minerals NL
15/05/2017,EUM,Eumeralla Resources Ltd,AMG,Ausmex Mining Group Limited
15/05/2017,TECH,ANZ ETFS Morningstar Global Technology ETF,TECH,ETFS Morningstar Global Technology ETF
15/05/2017,ESTX,ANZ ETFS Euro Stoxx 50,ESTX,ETFS Euro Stoxx 50 ETF
15/05/2017,ZOZI,ANZ ETFS S&P/ASX 100 ETF,ZOZI,ETFS S&P/ASX 100 ETF
15/05/2017,ZCNH,ANZ ETFS Physical Renminbi ETF,ZCNH,ETFS Physical Renminbi ETF
15/05/2017,ZYAU,ANZ ETFS S&P/ASX 300 High Yield Plus ETF,ZYAU,ETFS S&P/ASX 300 High Yield Plus ETF
15/05/2017,ZYUS,ANZ ETFS S&P 500 High Yield Low Volatility ETF,ZYUS,ETFS S&P 500 High Yield Low Volatility ETF
15/05/2017,ZUSD,ANZ ETFS Physical US Dollar ETF,ZUSD,ETFS Physical US Dollar ETF
15/05/2017,ZGOL,ANZ ETFS Physical Gold ETF,ZGOL,ETFS Physical Singapore Gold ETF
11/05/2017,NHO,New Horizon Coal Ltd,HE8,Helios Energy Ltd
9/05/2017,DXS,DEXUS Property Group,DXS,Dexus
9/05/2017,APN,APN News & Media Limited,HT1,HT&E Limited
8/05/2017,SIG,Sigma Pharmaceuticals Limited,SIG,Sigma Healthcare Limited
5/05/2017,RNI,RNI NL,AUR,Auris Minerals Limited
4/05/2017,AUK,Augur Resources Ltd,CLL,Collerina Cobalt Limited
4/05/2017,SIP,Sigma Pharmaceuticals Limited,SIG,Sigma Pharmaceuticals Limited
2/05/2017,GSE,Goldsearch Limited,ZNO,Zoono Group Limited
1/05/2017,FRE,Freshtel Holdings Limited,FSG,Field Solutions Holdings Limited
21/04/2017,AIK,Armidale Investment Corporation Limited,COG,Consolidated Operations Group Limited
12/04/2017,HLO,Helloworld Limited,HLO,Helloworld Travel Limited
5/04/2017,RUL,Rungepincockminarco Limited,RUL,RPMGlobal Holdings Limited
3/04/2017,RDV,Russell High Dividend Australian Shares ETF,RDV,Russell Investments High Dividend Australian Shares ETF
3/04/2017,RVL,Russell Australian Value ETF,RVL,Russell Investments Australian Value ETF
3/04/2017,RSM,Russell Australian Semi-Government Bond ETF,RSM,Russell Investments Australian Semi-Government Bond ETF
3/04/2017,RCB,Russell Australian Select Corporate Bond ETF,RCB,Russell Investments Australian Select Corporate Bond ETF
3/04/2017,RARI,Russell Australian Responsible Investment ETF,RARI,Russell Investments Australian Government Bond ETF
3/04/2017,RGB,Russell Australian Government Bond ETF,RGB,Russell Investments Australian Responsible Investment ETF
23/03/2017,TFC,T.F.S Corporation Ltd,QIN,Quintis Ltd
22/03/2017,MVS,VanEck Vectors Small Cap Dividend Payers ETF,MVS,VanEck Vectors Small Companies Masters ETF
14/03/2017,INL,Intec Ltd,SDV,Scidev Ltd
7/03/2017,BAS,Bass Strait Oil Company Limited,BAS,Bass Oil Limited
3/03/2017,ZYL,ZYL Limited,HWK,Hawkstone Mining Limited
2/03/2017,WHN,WHL Energy Limited,QFY,Quantify Technology Holdings Limited
1/03/2017,BNV,Brand New Vintage Limited,DW8,Dawine Ltd
8/02/2017,HHY,Hastings High Yield Fund,HHY,HHY Fund
7/02/2017,CJC,The Carajas Copper Company Limited,VAL,Valor Resources Limited
7/02/2017,RAW,Rawson Resources Limited,RAW,Rawson Oil and Gas Ltd
7/02/2017,RER,Regal Resources Limited,NZC,Nzuri Copper Limited
6/02/2017,PDY,Padbury Mining Limited,ANS,Austsino Resources Group Limited
6/02/2017,ATU,Atrum Coal NL,ATU,Atrum Coal Limited
3/02/2017,JKL,JustKapital Litigation Partners Limited,JKL,JustKapital Limited
2/02/2017,TTE,TTE Petroleum Ltd,GEV,Global Energy Ventures Ltd
27/01/2017,NVI,Nevada Iron Ltd,SHO,Sportshero Limited
27/01/2017,TIX,360 Capital Industrial Fund,CIP,Centuria Industrial REIT
27/01/2017,VOC,Vocus Communications Limited,VOC,Vocus Group Limited
27/01/2017,TWH,TW Holdings Limited,AC8,AusCann Group Holdings Ltd
25/01/2017,OXX,Octanex N.L.,OXX,Octanex Limited
25/01/2017,TPR,Timpetra Resources Limited,MCA,Murray Cod Australia Limited
23/01/2017,MGS,MGT Resources Limited,AVW,Avira Energy Limited
23/01/2017,TOF,360 Capital Office Fund,CUA,Centuria Urban REIT
18/01/2017,ZRL,Zambezi Resources Limited,TKM,Trek Metals Limited
16/01/2017,RGU,Regalpoint Resources Ltd,AO1,AssetOwl Limited
16/01/2017,GER,Greenearth Energy Limited,VIV,Vivid Technology Limited
11/01/2017,CVG,Convergent Minerals Ltd,EWE,East West Energy Limited
3/01/2017,OFW,Oilfield Workforce Group Limited,JIP,Jack-In Group Limited
3/01/2017,SOC,Sovereign Gold Company Limited,4CE,Force Commodities Limited
3/01/2017,BGD,BGD Corporation Ltd,ZNT,Zenitas Healthcare Limited
