As of*,Old details,,New details,
13/09/2013,MKB,Moko.Mobi Limited,MKB,Moko Social Media Limited
3/09/2013,BSI,Beyond Sportswear International Limited,SKL,Skyward Ltd
2/09/2013,NNC,News Corporation,NWS,News Corporation
23/08/2013,JAG,Jaguar Minerals Limited,PMY,Pacifico Minerals Limited
22/08/2013,INQ,Investorfirst Limited,HUB,HUB24 Limited
15/08/2013,KGL,Kentor Gold Limited,KGL,KGL Resources Limited
8/08/2013,PTO,PTO Consolidated Limited,COD,Cossack Energy Limited
7/08/2013,DXA,Dexia Municipal Agency,DXA,Caisse Francaise de Financement Local
2/08/2013,WHG,WHK Group Limited,CRH,Crowe Horwath Australasia Ltd
26/07/2013,VIL,Verus Investments Limited,MEJ,Macro Energy Ltd
23/07/2013,TNC,Transol Corporation Limited,AJR,Arunta Resources Limited
23/07/2013,GOA,Gold Anomaly Limited,CGN,Crater Gold Mining Limited
15/07/2013,FIS,Fission Energy Limited,CNJ,Conico Ltd
12/07/2013,RUR,RuralAus Investments Limited,KPT,Kangaroo Island Plantation Timbers Limited
11/07/2013,FPG,Forest Place Group Limited,AEH,Aveo Healthcare Limited
11/07/2013,CBB,Cordlife Limited,LFC,Life Corporation Ltd
10/07/2013,DON,DiamonEx Limited,SYA,Sayona Mining Limited
9/07/2013,PBD,Port Bouvard Limited,PBD,PBD Developments Limited
8/07/2013,UOG,United Orogen Limited,EYM,Elysium Resources Limited
8/07/2013,IBK,iShares MSCI BRIC,IBK,iShares MSCI BRIC Index Fund
8/07/2013,IEM,iShares MSCI Emerging Markets,IEM,iShares MSCI Emerging Markets ETF
8/07/2013,IEU,iShares S&P Europe 350,IEU,iShares Europe ETF
8/07/2013,IHK,iShares MSCI Hong Kong,IHK,iShares MSCI Hong Kong ETF
8/07/2013,IJP,iShares MSCI Japan,IJP,iShares MSCI Japan ETF
8/07/2013,IKO,iShares MSCI South Korea Capped Index Fund,IKO,iShares MSCI South Korea Capped ETF
8/07/2013,IOO,iShares S&P Global 100,IOO,iShares S&P Global 100 ETF
8/07/2013,IRU,iShares Russell 2000,IRU,iShares Russell 2000 ETF
8/07/2013,ISG,iShares MSCI Singapore,ISG,iShares MSCI Singapore ETF
8/07/2013,ITW,iShares MSCI Taiwan,ITW,iShares MSCI Taiwan ETF
8/07/2013,IVE,iShares MSCI EAFE,IVE,iShares MSCI EAFE ETF
8/07/2013,IAA,iShares S&P Asia,IAA,iShares S&P Asia 50 ETF
8/07/2013,IZZ,iShares FTSE China 25,IZZ,iShares FTSE China Large-Cap ETF
8/07/2013,IXP,iShares S&P Global Telecommunications,IXP,iShares Global Telecom ETF
8/07/2013,IXJ,iShares S&P Global Healthcare,IXJ,iShares Global Healthcare ETF
8/07/2013,IXI,iShares S&P Global Consumer Staples,IXI,iShares Global Consumer Staples ETF
2/07/2013,NWS,News Corporation,FOX,"Twenty-First Century Fox, Inc"
2/07/2013,NNC,New NewsCorp Inc,NNC,News Corporation
1/07/2013,CPZ,Car Parking Technologies Limited,SPZ,Smart Parking Limited
17/06/2013,IVA,Ivanhoe Australia Limited,IVA,Inova Resources Limited
14/06/2013,MEF,Merricks Capital Special Opportunity Fund Limited,AWK,Australasian Wealth Investments Limited
3/06/2013,NDL,NeuroDiscovery Limited,OSL,Oncosil Medical Ltd
30/05/2013,DTG,Daton Group Australia Ltd,ANB,Australia New Agribusiness & Chemical Group Ltd
28/05/2013,TJN,Trojan Equity Limited,BYE,Byron Energy Limited
24/05/2013,CUX,Crossland Uranium Mines Limited,CUX,Crossland Strategic Metals Ltd
24/05/2013,OKL,Oakland Resources Limited,CCZ,Castillo Copper Limited
23/05/2013,AIX,Australian Infrastructure Fund,AIX,Australian Infrastructure Fund Limited
22/05/2013,EHR,Earth Heat Resources Ltd,RTD,Rampart Energy Ltd
15/05/2013,GRX,Goodrich Resources Ltd,KDL,Kimberley Diamonds Ltd
6/05/2013,PAX,Panax Geothermal Limited,RYG,Raya Group Limited
3/05/2013,SPM,Speewah Metals Ltd,KRC,King River Copper Limited
3/05/2013,EMU,Emu Nickel NL,EMU,Emu NL
26/04/2013,VGP,Verticon Group Limited,VGP,VGP Corporation Limited
19/04/2013,SVC,SVC Group Limited,SZG,SubZero Group Limited
17/04/2013,RNG,Range River Gold Limited,WCC,The Waterberg Coal Company Limited
17/04/2013,RAI,Raisama Energy Limited,PKO,Peak Oil & Energy Limited
15/04/2013,NMR,Nimrodel Resources Limited,WKT,Walkabout Resources Ltd
8/04/2013,ISL,Intelligent Solar Limited,AWN,Arowana International Limited
13/03/2013,THX,Thundelarra Exploration Ltd,THX,Thundelarra Limited
12/03/2013,SSZ,Silver Stone Resources Limited,ORR,OreCorp Limited
8/03/2013,HTI,Hydrotech International Limited,PGO,Primary Gold Limited
6/03/2013,TON,Triton Gold Limited,TON,Triton Minerals Ltd
27/02/2013,RLA,Redisland Australia Limited,AAP,Australian Agricultural Projects Limited
19/02/2013,PHW,Prince Hill Wines Limited,PHW,PHW Consolidated Limited
11/02/2013,IKO,iShares MSCI South Korea,IKO,iShares MSCI South Korea Capped Index Fund
7/02/2013,AAQ,AAQ Holdings Limited,FRN,Fraser Range Metals Group Ltd
6/02/2013,MNZ,Mnet Group Limited,MNZ,Mnemon Limited
5/02/2013,ROS,Red October Resources Limited,WEG,White Eagle Resources Ltd
5/02/2013,NUP,Nupower Resources Limited,CEN,Central Australian Phosphate Limited
31/01/2013,ATP,Atlas South Sea Pearl Limited,ATP,Atlas Pearls and Perfumes Ltd
31/01/2013,RSN,Renison Consolidated Mines NL,LNY,Laneway Resources Ltd
31/01/2013,TTV,Two Way Limited,DNA,Donaco International Limited
25/01/2013,CRF,Centro Retail Australia,FDC,Federation Centres
25/01/2013,CYY,Crescent Resources Corp,CYY,Coventry Resources Inc
24/01/2013,WSA,Western Areas NL,WSA,Western Areas Limited
22/01/2013,MMC,Marengo Mining Canada Limited,MMC,Marengo Mining Limited.
21/01/2013,PXR,Padang Resources Limited,PXR,Palace Resources Limited
15/01/2013,AOM,Australia Oriental Minerals NL,AOM,AO Energy Limited
11/01/2013,CUI,Centium Electric Limited,HRC,HidroCo Limited
8/01/2013,RID,Ridge Resources Ltd,CDV,Cardinal Resources Limited
7/01/2013,AMU,Amadeus Energy Limited,LNR,Lonestar Resources Limited
