As of*,Old details,,New details,
13/11/2012,TLG,Talga Gold Limited,TLG,Talga Resources Ltd 
12/11/2012,STZ ,Strzelecki Metals Limited,WOF,Wolf Petroleum Limited
9/11/2012,OMX ,Ormil Energy Limited,MPE,Magnum Gas & Power Limited 
7/11/2012,SBI,Sterling Biofuels International Limited,SBI,Sterling Plantations Limited 
7/11/2012,EHG,Ellect Holdings Limited   ,EHG,EHG Corporation Limited 
1/11/2012,CRJ,Copper Range Limited   ,CRJ,Caravel Energy Limited 
31/10/2012,NUW,NuWorld Solutions Limited,KSN,Kingston Resources Limited
30/10/2012,STK,Strickland Resources Limited,OGX,Orinoco Gold Limited 
29/10/2012,BCR,Blackcrest Resources Limited,BLH,Bligh Mining Limited 
29/10/2012,HIP,Hyperion Flagship Investments Limited,FSI,Flagship Investments Limited
23/10/2012,IJH,iShares S&P MidCap 400 Index Fund,IJH,iShares Core S&P Mid-Cap ETF 
23/10/2012,IJR,iShares S&P SmallCap 600 Index Fund,IJR,iShares Core S&P Small-Cap ETF 
23/10/2012,IVV,iShares S&P 500 Index Fund,IVV,iShares Core S&P 500 ETF 
22/10/2012,CRK,Carrick Gold Limited,KGM,KalNorth Gold Mines Limited 
18/10/2012,JHX,James Hardie Industries SE,JHX,James Hardie Industries PLC 
18/10/2012,LOM,Lonrho Mining Limited   ,LOM,Lucapa Diamond Company Limited 
16/10/2012,HYO,Hyro Limited,IVO,Invigor Group Limited 
10/10/2012,VRE ,View Resources Ltd,CLA ,Celsius Coal Limited 
9/10/2012,MRJ,Meridien Resources Limited,SWJ,Stonewall Resources Limited 
3/10/2012,CUU,Callabonna Uranium Ltd,CUU,Callabonna Resources Ltd
25/09/2012,WNI,Wah Nam International Holdings Limited,BCK,Brockman Mining Limited 
20/09/2012,FWA,Farmworks Australia Limited,CQA,Conquest Agri Limited 
17/09/2012,MUN,Mundo Minerals Limited,MIZ,Minera Gold Limited 
13/09/2012,DGI,Digislide Holdings Limited,DGI,DGI Holdings Limited 
12/09/2012,CGV,Clean Global Energy Limited,CTR,Citation Resources Ltd 
6/09/2012,MZI,Matilda Zircon Limited,MZI,MZI Resources Ltd 
6/09/2012,HEA,Health Corporation Limited,ERI ,Erin Resources Limited 
5/09/2012,CBZ,CBio Limited,IVX,Invion Limited 
31/08/2012,MIK,Mikoh Corporation Limited,KKL,Kollakorn Corporation Limited 
31/08/2012,EQF,Equities and Freeholds Limited,EAS,Easton Investments Limited
30/08/2012,AQR,Aussie Q Resources Limited   ,AQR,Aeon Metals Limited 
28/08/2012,BUT,Bright Star Resources Limited,RVY,Rift Valley Resources Limited 
27/08/2012,PRE,Pacrim Energy Limited,RCF,Redcliffe Resources Limited 
24/08/2012,SKC,Sky City Entertainment Group Limited,SKC,Skycity Entertainment Group Limited
23/08/2012,AUV,Australis Mining Corporation Limited,AUV,AUV Enterprises Limited 
22/08/2012,SLT,Select Vaccines Limited,SLT,Select Exploration Limited 
21/08/2012,CPB,Campbell Brothers Limited,ALQ,ALS Limited 
16/08/2012,ORC,Orchid Capital Ltd,CSP,Coral Sea Petroleum Ltd 
9/08/2012,MET,Mt.Isa Metals Ltd,OBS,Orbis Gold Limited 
18/07/2012,KNL,Kibaran Nickel Limited,KNL,Kibaran Resources Limited 
13/07/2012,WWG,World Wide Entertainment Group Limited,ABF,Ausmani Limited
9/07/2012,EUL,Eclipse Metals Limited,EPM,Eclipse Metals Limited
6/07/2012,CNK,Condor Metals Limited,ICG,Inca Minerals Limited
3/07/2012, PGA,Photon Group Limited,EGG,Enero Group Limited
3/07/2012, EUL,Eclipse Uranium Ltd,EUL,Eclipse Metals Limited
2/07/2012,OST,OneSteel Limited,ARI,Arrium Limited
21/06/2012,GDN,Golden State Resources Limited,AWD,Aleator Energy Limited 
21/06/2012,FER,Fermiscan Holdings Limited,TPP,Tempo Australia Ltd
15/06/2012,CFX,CFS Retail Property Trust,CFX,CFS Retail Property Trust Group 
14/06/2012,CHM,Chameleon Mining NL,KPR,Kupang Resources Ltd 
13/06/2012,FLS,Fluorotechnics Limited   ,LMB,Lamboo Resources Limited 
13/06/2012,ILF,ING Real Estate Community Living Group,INA,Ingenia Communities Group 
13/06/2012,MPD,Millepede International Limited   ,AYB,Australian Natural Proteins Limited 
12/06/2012,EDM,Eldore Mining Corporation Limited,SAT,Stratos Resources Limited 
8/06/2012,UTO ,U308 Limited,AYE,Avocet Resources Limited 
1/06/2012,ECM ,East Coast Minerals NL,GSZ,Global Strategic Metals NL
31/05/2012,MGK,MIL Resources Limited,FOY,Foyson Resources Limited 
17/05/2012,HTM,Heritage Gold NZ Limited,NTL,New Talisman Gold Mines Limited
16/05/2012,IRE,IRESS Market Technology Limited,IRE,IRESS Limited 
14/05/2012,CKP,Cheviot Kirribilly Vineyard Property Group,CKP,Cheviot Kirribilly Vineyard Property Limited 
9/05/2012,ATR,Astron Limited   ,ATR,Astron Corporation Limited 
9/05/2012,MKE,Mako Energy Limited,MKE,Mako Hydrocarbons Ltd.
2/05/2012,HZL,Healthzone Limited,HZL,HZ Lim Ltd 
24/04/2012,EDS,Every Day Mine Services Limited,HDX,Hughes Drilling Limited
18/04/2012,ETH,Ethan Minerals Limited,PSC,Prospect Resources Limited 
13/04/2012,FRR ,Frigrite Limited,FRR,FRR Corporation Limited 
10/04/2012,PCC,Probiomics Limited,BXN,Bioxyne Limited 
30/03/2012,TNP,Tango Petroleum Limited,TNP,Triple Energy Limited
29/03/2012,RHM,Richmond Mining Limited,NVI,Nevada Iron Ltd 
28/03/2012,KOV,Korvest Limited,KOV,Korvest Ltd 
9/03/2012,CXN,Connxion Limited,CRV,Core Services Group Limited
8/03/2012,PTO,Photo-Me Australia Limited,PTO,PTO Consolidated Limited
7/03/2012,RAI,Raisama Limited,RAI,Raisama Energy Limited 
6/03/2012,ATW,Atos Wellness Ltd,ATW,ATW Holdings Limited 
5/03/2012,MRP,MacPhersons Reward Gold Limited,MRP,MacPhersons Resources Limited 
2/03/2012,ACZ,Atticus Resources Limited,ZAM,Zamanco Minerals Limited 
23/02/2012,AAT ,Autron Corporation Limited,AAT,AAT Corporation Limited 
10/02/2012,IEF,ING Real Estate Entertainment Fund,IEF ,IEF Real Estate Entertainment Group 
9/02/2012,MOV,Moore Australasia (Holdings) Limited,MOV,MOV Corpration Limited 
3/02/2012,PLD,Portland Orthopaedics Limited,PLD,PLD Corporation Limited 
31/01/2012,SSC,Sultan Corporation Limited,BMB,Balamara Resources Limited 
31/01/2012,OIP,Orion Petroleum Limited,PRL,Petrel Energy Limited
25/01/2012,NCR,Nucoal Resources NL,NCR,Nucoal Resources Limited 
23/01/2012,BBX,BBX Holdings Limited,BBX,BBX Minerals Limited 
19/01/2012,PWR,Powerlan Limited,CYO,Clarity OSS Limited 
17/01/2012,DSQ,Datasquirt Limited,DSQ,DSQ Holdings Limited 
17/01/2012,GNI,Global Nickel Investments NL,GXN,Global Metals Exploration NL 
17/01/2012,INE,India Equities Fund Limited,MVT,Mercantile Investment Company Ltd 
12/01/2012,CGQ,Consolidated Steel Group Limited,CFY,CFT Energy Limited 
12/01/2012,FTD,FTD Corporation Ltd,CUI,Centium Electric Limited
12/01/2012,TRY,Troy Resources NL,TRY,Troy Resources Limited 
11/01/2012,TSH,TSV Holdings Limited,AZV,Azure Healthcare Limited 
6/01/2012,BOM,Bondi Mining Limited,WTR,World Titanium Resources Limited 
5/01/2012,ERH,Eromanga Hydrocarbons Limited,WLR,World Oil Resources Ltd
