As of*,Old details,,New details,
2/12/2015,SWA,Swan Gold Mining Limited,EGS,Eastern Goldfields Limited
2/12/2015,LMB,Lamboo Resources Limited,HXG,Hexagon Resources Limited
2/12/2015,GRV,Greenvale Energy NL,GRV,Greenvale Energy Limited
1/12/2015,RBR,Rubicon Resources Limited,RBR,RBR Group Limited
1/12/2015,SBN,Sun Biomedical Limited,DXB,Dimeriz Limited
1/12/2015,AUB,Austbrokers Holdings Limited,AUB,AUB Group Limited
30/11/2015,ERD,Exalt Resources Limited,MDR,MedAdvisor Limited
30/11/2015,COT,Continuation Investments Limited,PKA,Plukka Limited
27/11/2015,LLC,Lend Lease Group,LLC,Lendlease Group
27/11/2015,CYS,Chrysalis Resources Limited,PIL,Peppermint Innovation Limited
26/11/2015,WSE,Welcome Stranger Mining Limited,RIL,Riddock International Limited
26/11/2015,MAK,Minemakers Limited,AEV,Avenira Limited
25/11/2015,ONC,OnCard International Limited,TFL,TasFoods Limited
19/11/2015,GUF,Guildford Coal Limited,TER,Terracom Limited
19/11/2015,REH,Reece Australia Limited,REH,Reece Limited
18/11/2015,WNH,Whole New Home Limited,KBU,Kabuni Ltd
18/11/2015,CUU,Callabonna Resources Limited,AQX,Alice Queen Limited
18/11/2015,ACW,Actinogen Limited,ACW,Actinogen Medical Limited
17/11/2015,SOO,Solco Limited,GOE,Go Energy Group Limited
17/11/2015,PPX,PaperlinX Limited,SRS,Spicers Limited
16/11/2015,EGP,Echo Entertainment Group Limited,SGR,The Star Entertainment Group Limited
13/11/2015,MRN,Macquarie Radio Network Limited,MRN,Macquarie Media Limited
11/11/2015,BUG,Buderim Ginger Limited,BUG,Buderim Group Limited
6/11/2015,MNF,My Net Fone Limited,MNF,MNF Group Limited
5/11/2015,DMY,DMY Capital Limited,FBR,Fastbrick Robotics Ltd
4/11/2015,TSE,Transfield Services Limited,BRS,Broadspectrum Limited
4/11/2015,AOC,Australian Oil Company Limited,SGC,Sacgasco Limited
2/11/2015,FDC,Federation Centres,VCX,Vicinity Centres
23/10/2015,VGI,Vista Group International Limited,VGL,Vista Group International Limited
23/10/2015,TRG,Treasury Group Ltd,PAC,Pacific Current Group Limited
20/10/2015,GIP,Gippsland Limited,AR1,Arrowhead Resources Limited
15/10/2015,HAS,Hastings Rare Metals Limited,HAS,Hastings Technology Metals Limited
2/10/2015,ICX,International Coal Limited,VPC,Velpic Limited
2/10/2015,DGO,Drummond Gold Limited,DGO,DGO Gold Limited
16/09/2015,TIK,Tikforce Ltd,PZR,Palace Resources Limited.
15/09/2015,RSL,Resuource Star Limited,SRT,Star Striker Limited
15/09/2015,EAF,East Africa Resources Limited,TPS,Threat Protect Australia Limited
14/09/2015,RRE,Rubianna Resources Limited,ZML,Zipmoney Ltd
10/09/2015,AZK,Aziana Limited,BRN,Brainchip Holdings Ltd
4/09/2015,TTE,Titan Energy Limited,TTE,TTE Petroleum Limited
3/09/2015,MTN,Marathon Resources Limited,LCK,Leigh Creek Energy Limited
2/09/2015,ONQ,On Q Group Limited,SCU,Stemcell United Limited
1/09/2015,MGB,Magnolia Resources Limited,WNH,Whole New Home Ltd
31/08/2015,KRB,Krucible Metals Limited,TTW,Toptung Ltd
28/08/2015,PXR,Palace Resources Limited,TIK,Tikforce Ltd
28/08/2015,MOU,Modun Resources Ltd,LVT,Livetiles Limited
26/08/2015,FOY,Foyson Resources Limited,FOY,Foy Group Limited
24/08/2015,DIS,Discovery Resources Limited,AQS,Aquis Entertainment Limited
14/08/2015,RTD,Rampart Energy Ltd,PGY,Pilot Energy Limited
12/08/2015,ICP,Icash Payment Systems Limited,STL,StarGroup Limited
12/08/2015,BMY,Brumby Resources Limited,MZN,Marindi Metals Limited
10/08/2015,MUX,Mungana Goldmines Limited,ATE,Atherton Resources Ltd
6/08/2015,BKY,Berkeley Resources Limited,BKY,Berkeley Energy Limited
4/08/2015,IFE,Ironclad Mining Limited,TYX,Tyranna Resources Limited
4/08/2015,CXB,Cobre Montana NL,LIT,Lithium Australia NL
31/07/2015,PLD,PLD Corporation Limited,MCT,Metalicity Limited
31/07/2015,PYL,Phytotech Medical Limited,MMJ,MMJ Phytotech Limited
29/07/2015,INT,INT Corporation Limited,AHL,AHAlife Holdings Limited
24/07/2015,SWW,SWW Energy Limited,OMT,Omni Market Tide Ltd
23/07/2015,VCL,Viculus Limited,LGR,Lanka Graphite Limited
17/07/2015,PCD,PINE Capital Limited,SRY,Story-I Limited
10/07/2015,BER,Basper Ltd,DM1,DirectMoney Limited
9/07/2015,ESY,Enhanced Systems Technologies Limited,KPO,Kalina Power Limited
8/07/2015,NLS,Narhex Life Sciences Limited,RAP,ResApp Health Limited
7/07/2015,WIG,Wilson HTM Investment Group Ltd,WIG,Wilson Group Limited
2/07/2015,LBY,Liberty Resources Limited,CNW,Cirrus Networks Holdings Limited
1/07/2015,TNK,Think Childcare and Education Limited,TNK,Think Childcare Limited
29/06/2015,FOT,Fortunis Resources Limited,TMP,Tech Mpire Limited
23/06/2015,RFE,Red Fork Energy Limited,BRK,Brookside Energy Limited
23/06/2015,NRU,Newera Resources Limited,CZL,Consolidated Zinc Limited
19/06/2015,SLT,Select Exploration Limited,RNT,Rent.com.au Limited
12/06/2015,MRY,Monteray Mining Group Ltd,NOR,Norwood Systems Limited
12/06/2015,GMC,Gulf Minerals Corporation Ltd,GMC,Gulf Manganese Corporation Limited
12/06/2015,ESN,Entellect Limited,KNM,Kneomedia Limited
5/06/2015,EHG,EHG Corporation Limited,BUN,Bunuru Corporation Limited
3/06/2015,STB,South Boulder Mines Limited,DNK,Danakali Limited
1/06/2015,CKK,Coretrack Limited,LWP,LWP Technologies Limited
28/05/2015,PHW,PHW Consolidated Limited,TOM,Tomizone Limited
26/05/2015,GMX,Goldminex Resources Limited,ENZ,Enzumo Limited
19/05/2015,DMY,Dromana Estate Limited,DMY,DMY Capital Limited
18/05/2015,PKR,Parker Resources Limited,ENA,Ensurance Ltd
13/05/2015,ACU,Acuvax Limited,ACU,Activistic Limited
8/05/2015,CWG,Central West Gold Limited,CWC,China Waste Corporation Limited
1/05/2015,AHE,Automotive Holdings Group Limited,AHG,Automotive Holdings Group Limited
24/04/2015,LEI,Leighton Holdings Limited,CIM,CIMIC Group Limited
24/04/2015,CAQ,Cell Aquaculture Ltd,CAQ,CAQ Holdings Limited
23/04/2015,BGD,Boulder Steel Ltd,BGD,BGD Corporation Ltd
23/04/2015,AFV,Aurora Funds Limited,SAM,SIV Asset Management Limited
22/04/2015,CNN,Cardio Bioplastics Limited,SES,SECOS Group Ltd
14/04/2015,CFY,CFT Energy Limited,WSG,Wolfstrike Rentals Group Limited
10/04/2015,FFF,Firstfolio Limited,ECO,Echoice Limited
9/04/2015,ARP,ARB Corporation Limited,ARB,ARB Corporation Limited
7/04/2015,WBB,Wide Bay Australia Ltd,ABA,Auswide Bank Ltd
2/04/2015,PMR,Precious Metal Resources Limited,FCG,Frontier Capital Group Limited
30/03/2015,GRK,Green Rock Energy Limited,BKT,Black Rock Mining Limited
24/03/2015,COZ,Commodities Group Limited,SFG,Seafarms Group Limited
18/03/2015,HTX,Healthlinx Limited,MTL,Manalto Limited
11/03/2015,HAV,Havilah Resources NL,HAV,Havilah Resources Limited
6/03/2015,GPG,Guinness Peat Group PLC,CGW,Coats Group PLC
6/03/2015,OGI,OGI Group Ltd,MUS,Mustang Resources Limited
4/03/2015,TPT,Tangiers Petroleum Limited,88E,88 Energy Limited
27/02/2015,QRL,Quintessential Resources Limited,YNB,Yonder and Beyond Group Limited
27/02/2015,ACJ,African Chrome Fields Limited,JKL,Just Kapital Litigation Partners Limited
25/02/2015,CRZ,Carsales.com Limited,CAR,Carsales.com Limited
25/02/2015,OTE,Otis Energy Limited,ISX,iSIGNTHIS LTD
19/02/2015,TLU,Tellus Resources Ltd,CRX,Crestal Petroleum Limited
19/02/2015,CSP,Coral Sea Petroleum Limited,SPB,South Pacific Resources Limited
17/02/2015,SFP,Safety Medical Products Limited,3DM,3D Medical Limited
6/02/2015,PKR,Parker Resources NL,PKR,Parker Resources Limited
5/02/2015,WSR,White Star Resources Limited,SFI,Spookfish Limited
27/01/2015,UCW,UnderCoverWear Limited,UCW,UCW Limited
27/01/2015,MFC,Metals Finance Limited,PAK,Pacific American Coal Limited
22/01/2015,BFE,Black Fire Minerals Ltd,AB1,Animoca Brands Corporation Limited
19/01/2015,CWG,Central West Gold NL,CWG,Central West Gold Limited
19/01/2015,QXQ,Q Limited,CM8,Crowd Mobile Limited
12/01/2015,OHL,Omnitech Holdings Limited,KLR,Kaili Resources Limited
7/01/2015,MUT,Multi Channel Solutions Limited,BGR,Bronson Group Limited
7/01/2015,AYG,Anittel Group Limited,AYG,Axxis Technology Group Ltd
2/01/2015,CUG,Crucible Gold Limited,DUB,Dubber Corporation Limited
