As of*,Old details,,New details,
11/04/2001,NCE,Norgard Clohessy Equity Limited,YTL,Yates Limited
9/04/2001,SOA,Solace Limited,GTA,Global Technology Australasia Limited
3/04/2001,GGY,Glengarry Resources NL,GGY,Glengarry Resources Limited
30/03/2001,CQT,Conquest Mining NL,CQT,Conquest Mining Limited
26/03/2001,AHL,Aboriginal Holdings Limited,GOI,Gowit Limited
22/03/2001,KUG,Kurnalpi Gold NL,RFS,Rivkin Financial Services Limited
15/03/2001,DLS,Drillsearch Energy NL,DLS,Drillsearch Energy Limited
15/03/2001,ITN,Intag International Limited,ITN,Intercard Wireless Limited
7/03/2001,GDH,Grimwood Davies Holdings Limited,ATT,Amnet Limited
7/03/2001,SPU,Sales Pursuit Limited,AZE,Aztec Capital Limited
7/03/2001,ROX,Rox Limited,PPD,Pan Palladium Ltd
1/03/2001,AJN,Armstrong Jones Industrial Trust,IIF,ING Industrial Trust
28/02/2001,HBC,Hellenic Bottling Company S.A,CHB,Coca Cola Hellenic Bottling Company S.A
27/02/2001,MSD,Masmindo Mining Corporation Limited,CPE,Cape Tel Limited
26/02/2001,AJP,Armstrong Jones Office Group,IOF,ING Office Fund
26/02/2001,CMZ,Coms21 Limited,EGI,eGlobal International Limited
26/02/2001,PTH,PTH Group Limited,TRG,Treasury Group Limited
20/02/2001,ISE,ISEC Limited,HWG,Hostworks Group Limited
14/02/2001,CUE,Cue Energy Resources NL,CUE,Cue Energy Resources Limited
14/02/2001,SED,Sedimentary Holdings NL,SED,Sedimentary Holdings Limited
7/02/2001,STA,Sustainable Technologies Australia Limited,HLT,Healthpoint Technologies Limited
5/02/2001,GHM,Golden Heritage Limited,AXH,Adex Holdings Limited
5/02/2001,INM,Indian Mining Corporation Limited,LTC,L-Tel Corporation Limited 
5/02/2001,RFR,Redfire Resources Limited,CBH,Consolidated Broken Hill Ltd
2/02/2001,GVM,Golden Valley Mines NL,GVM,Golden Valley Mines Limited
31/01/2001,KRZ,Kalrez Energy Limited,KRZ,Kalrez Energy Limited
31/01/2001,UCR,United Group Limited,UGL,United Group Limited
31/01/2001,ODD,Oddsoft Limited,ODD,Oddsoft Ltd
29/01/2001,ADN,Adelaide Resources NL,ADN,Adelaide Resources Limited
29/01/2001,CBC,China Broadband Corporation Limited,CBC,China Convergent Corporation Limited
23/01/2001,COG,Coolgardie Gold NL,SMA,SmartTrans Holdings Ltd
22/01/2001,ION,Iron Carbide Australia Limited,ION,ION Limited
22/01/2001,RFM,Reef Mining NL,ICP,International Concert Attractions Limited
19/01/2001,YDR,Yardarino Mining Limited,YDR,Yardarino Limited
18/01/2001,MNG,Minotaur Gold NL,MNG,Minotaur Gold Limited
17/01/2001,GAW,Gawler Gold & Mineral Exploration Limited,AUR,Australon Limited
16/01/2001,PHD,Pharmaction Holdings Limited,EIF,Eiffel Technologies Limited
8/01/2001,AEG,Adelong Capital Limited,ORC,Orchid Capital Limited
8/01/2001,SDI,Southern Dental Industries Limited,SDI,SDI Limited
5/01/2001,CIT,Commercial Investment Trust,DOT,Deutsche Office Trust
5/01/2001,IIT,Industrial Investment Trust,DIT,Deutsche Industrial Trust
5/01/2001,HBN,Huntley's Business Network Limited,HBN,Huntleys' Business Network Limited
