As of*,Old details,,New details,
14/06/2018,PHA,Public Holdings (Australia) Ltd,FAU,First Au Limited
6/06/2018,AZZ,Antares Energy Limited,BNL,Big Star Energy Limited
5/06/2018,FCR,Ferrum Crescent Limited,EUZ,Europa Metals Ltd
1/06/2018,MLB,Melbourne IT Limited,ARQ,ARQ Group Limited
28/05/2018,AAL,APAC Coal Limited,CI1,Credit Intelligence Ltd
28/05/2018,MQA,Macquarie Atlas Roads,ALX,Atlas Arteria
25/05/2018,GGL,The Gruden Group Ltd,STC,Sinetech Limited
21/05/2018,ABU,ABM Resources NL,PRX,Prodigy Gold NL
17/05/2018,MZM,Montezuma Mining Company Ltd,E25,Element 25 Limited
15/05/2018,FFT,Future Fibre Technologies Limited,AVA,AVA Risk Group Limited
11/05/2018,BCL,Baralaba Coal Company Limited,BCL,A.C.N. 112 682 158 Limited
10/05/2018,WRG,Water Resources Group Limited,PO3,Purifloh Limited
9/05/2018,ACU,Activistic Limited,PC1,Plus Connect Limited
4/05/2018,BTT,BT Investment Management Limited,PDL,Pendal Group Limited
4/05/2018,OVR,Overland Resources Limited,RNX,Renegade Exploration Limited
1/05/2018,OGY,Orca Energy Limited,FIN,Fin Resources Limited
30/04/2018,MLI,Mintails Limited,ONX,Orminex Ltd
26/04/2018,TUP,TTG Fintech Limited,FTC,Fintech Chain Limited
17/04/2018,AR1,Arrowhead Resources Limited,EM1,Emerge Gaming Limited
16/04/2018,PLH,Plymouth Minerals Limited,INF,Infinity Lithium Corporation Limited
13/04/2018,BPS,BPS Technology Limited,INP,IncentiaPay Limited
12/04/2018,ALR,Aberdeen Leaders Limited,CLF,Concentrated Leaders Fund Limited
10/04/2018,LFR,Longford Resources Limited,NWC,New World Cobalt Limited
29/03/2018,NMG,NMG Corporation Limited,ACF,Acrow Formwork and Construction Services Limited
26/03/2018,RIR,Riva Resources Limited,HCO,Hylea Metals Limited
23/03/2018,YNB,Yonder and Beyond Group Limited,AVC,Auctus Alternative Investments Limited
22/03/2018,ACK,Austock Group Limited,GDG,Generation Development Group Limited
14/03/2018,ARK,Ausroc Metals Ltd,WML,Woomera Mining Limited
14/03/2018,DM1,DirectMoney Limited,WZR,Wisr Limited
2/03/2018,ISH,Ishine International Resources Limited,SUP,Superior Lake Resources Limited
22/02/2018,SZG,A.C.N. 009 161 522 Limited,RDN,Raiden Resources Limited
22/02/2018,QNL,Quest Minerals Limited,HGM,High Grade Metals Limited
16/02/2018,IOG,Incremental Oil and Gas Limited,E2E,Eon NRG Limited
15/02/2018,ORN,Orion Minerals NL,ORN,Orion Minerals Ltd
31/01/2018,CTR,Citation Resources Ltd,PG1,Pearl Global Limited
22/01/2018,ISG,iShares MSCI Singapore Capped ETF,ISG,iShares MSCI Singapore ETF
22/01/2018,IKO,iShares MSCI South Korea Capped ETF,IKO,iShares MSCI South Korea ETF
22/01/2018,ITW,iShares MSCI Taiwan Capped ETF,ITW,iShares MSCI Taiwan ETF
22/01/2018,EPT,ePAT Technologies Ltd,PCK,PainChek Ltd
17/01/2018,RCE,Recce Limited,RCE,Recce Pharmaceuticals Ltd
15/01/2018,ZML,Zip Co Limited,Z1P,Zip Co Limited
3/01/2018,SXI,South East Asia Resources Limited,JDR,Jadar Lithium Limited
2/01/2018,MPE,Magnum Gas & Power Limited,REL,Raven Energy Limited
