As of*,Old details ,,New details,
27/01/2005,CVL ,Clearview Capital Limited ,ADI ,Adelphi Energy Limited 
24/01/2005,GBG ,Gindalbie Gold NL ,GBG ,Gindalbie Metals Ltd 
21/01/2005,TRV ,Travel Holdings Limited ,TLC ,"Tourism, Hotels & Leisure Limited "
20/01/2005,TIR ,Titan Resources NL ,TIR ,Titan Resources Limited 
17/01/2005,SSN ,Samson Exploration NL ,SSN ,Samson Oil & Gas NL 
17/01/2005,GBR ,Gowings Retail Limited ,GBR ,G Retail Limited 
17/01/2005,WPO ,Winepros Limited ,CVB ,Cheviot Bridge Limited 
13/01/2005,MFS ,MFS Leveraged Investment Limited ,MFS ,MFS Limited 
12/01/2005,PIV,Peppercorn Investment Fund,AEU,Australian Education Trust
11/01/2005,HAK,Keith Harris & Co Ltd,KHF,KH Foods Limited
10/01/2005,HWT,Harvey World Travel Limited,HWT,Harvey World Travel Group Limited
7/01/2005,MFS,MFS Leveraged Investment Group,MFS,MFS Leveraged Investment Limited
