As of*,Old details,,New details,
2/10/08,AUQ,Alara Uranium Limited,AUQ,Alara Resources Limited
3/10/08,EPE,Enterprise Energy Limited,BND,Bandanna Energy Limited
10/9/08,CDS,Comdek Limited,RES,Resource Generation Limited
3/9/08,WEZ,Westonia Mines Limited,CAH,Catalpa Resources Limited
18/8/08,EQX,EQiTX Limited,EQX,Equatorial Coal Limited
11/8/08,CMR,Compass Resources NL,CMR,Compass Resources Limited
11/8/08,CAS,Crusader Holdings NL,CAS,Crusader Resources Limited
8/8/08,HFC,Hawk Resources Limited,NSE,New Standard Energy Limited
8/8/08,MBT,Mission Biofuels Limited,MBT,Mission Newenergy Limited
8/8/08,RAB,ANZ Rabinov Property Trust,ARN,Australian Commercial Property Trust
31/7/08,RSL,Retail Star Limited,RSL,Resource Star Limited
29/7/08,GLO,Global Approach Limited,TYS,TEYS Limited
28/7/08,EBR,Eagle Bay Resources NL,SER,Strategic Energy Resources Limited
23/7/08,ANO,Advanced Nanotechnology Limited,ANO,Antaria Limited
23/7/08,OXR,Oxiana Limited,OZL,OZ Minerals Limited
16/7/08,MEE,Metex Resources Limited,CNX,Carbon Energy Limited
14/7/08,MXL,MXL Limited,ESN,Entellect Solutions Limited
11/7/08,ARX,Austindo Resources Corporation NL,ARX,Arc Exploration Limited
7/7/08,ATG,Austin Group Limited,MCB,Mercury Brands Limited
7/7/08,GAA,Genepharm Australasia Limited,APH,Ascent Pharmahealth Ltd
7/7/08,PRW,Proto Resources & Investments Limited,PRW,Proto Resources & Investments Ltd
2/7/08,ANU,Aconcagua Resources Limited,SAY,South American Iron & Steel Corporation Limited
2/7/08,WST,Westralia Property Trust,AGJ,Agricultural Land Trust
30/6/08,WHN,Wind Hydrogen Limited,WHN,WHL Energy Limited
27/6/08,ETW,Evans & Tate Limited,ETW,ETW Corporation Limited
26/6/08,CCE,Clinical Cell Culture Limited,AVH,Avita Medical Ltd
23/6/08,GBE,Globe Uranium Limited,GBE,Globe Metals & Mining Limited
18/6/08,AWS,ADG Global Supply Limited,ADQ,ADG Global Supply Limited
16/6/08,SMY,Sally Malay Mining Limited,PAN,Panoramic Resources Limited
12/6/08,CTF,Citrofresh International Limited,PGC,Paragon Care Limited
12/6/08,NWK,Network Limited,OOH,OOHMedia Group Limited
5/6/08,IVK,Investika Limited,NSN,Natasa Mining Ltd
4/6/08,CCO,Circlecom Limited,WTG,Wintech Group Limited
4/6/08,CCS,Concept Sports Limited,BSI,Beyond Sportswear International Limited
29/5/08,AWG,Austral Waste Group Limited,TTA,TTA Holdings Limited
29/5/08,FDL,Flinders Diamonds Limited,FMS,Flinders Mines Limited
27/5/08,PNA,Pan Australian Resources Limited,PNA,Panaust Limited
26/5/08,AWS,Australian Waterwise Solutions Limited,AWS,ADG Global Supply Limited
23/5/08,RTL,Ritract Limited,RTL,RTL Corporation Limited
15/5/08,TPL,Terraplanet Limited,TPL,TPL Corporation Limited
12/5/08,SBL,Signature Brands Limited,SBL,Signature Metals Limited
7/5/08,BRC,Brain Resource Company Limited (The),BRC,Brain Resource Limited
7/5/08,GLC,GoldLink GrowthPlus Limited,EQF,Equities and Freeholds Limited
5/5/08,CHD,Chandler Macleod Limited,CMG,Chandler Macleod Limited
2/5/08,BMI,BMDI International Limited,BMI,BMDi TUTA Limited
22/4/08,WDS,Walter Diversified Services Limited,WDS,WDS Limited
22/4/08,CAA,Capral Aluminium Limited,CAA,Capral Limited
16/4/08,FZN,Fone Zone Group Limited,VTG,Vita Group Limited
16/4/08,MRB,Marginbet Limited,FTN,Fortuna Minerals Limited
14/4/08,BCF,Blue Chip Financial Solutions Limited,NOC,Northern Crest Investments Limited
8/4/08,BEN,Bendigo Bank Limited,BEN,Bendigo and Adelaide Bank Limited
3/4/08,MPY,MFS Living and Leisure Group,LLA,Living and Leisure Australia Group
3/4/08,GWV,Global Wine Ventures Limited,BNV,Brand New Vintage Limited
3/4/08,GNL,Great Gold Mines N.L,HAW,Hawthorn Resources Limited
2/4/08,MFT,MFS Diversified Group,GPM,GEO Property Group
1/4/08,MFS,MFS Limited,OCV,Octaviar Limited
28/3/08,HRD,HarvestRoad Limited,GUI,Guilford Investments Limited
14/3/08,WTE,Wedgetail Mining Limited,MOY,Millennium Minerals Limited
12/3/08,BVP,Bushveld Platinum Ltd,AGQ,Australian Motor Finance Group Limited
7/3/08,PKT,Pocketmail Group Limited,ADD,Adavale Resources Limited
29/2/08,EIF,Eiffel Technologies Limited,TEO,Telesso Technologies Limited
25/2/08,DRT,DB RREEF Trust,DXS,DEXUS Property Group
25/2/08,DRR,DB RREEF RENTS Trust,DXR,DEXUS RENTS Trust
14/2/08,FRL,Financial Resources Limited,QSS,Questus Limited
14/2/08,MGW,McGuigan Simeon Wines Limited,AVG,Australian Vintage Ltd
8/2/08,INR,India NRE Minerals Limited,GNM,Gujarat NRE Minerals Limited
4/2/08,EPE,Enterprise Energy NL,EPE,Enterprise Energy Limited
4/2/08,XBL,Xceed Capital Limited,XCD,Xceed Capital Limited
31/1/08,NWA,New World Alloys Limited,AAF,Austral Africa Resources Limited
30/1/08,GML,Gateway Mining NL,GML,Gateway Mining Limited
29/1/08,CVS,Cervantes Seafood Limited,CVS,Cervantes Corporation Limited
25/1/08,WGR,Westgold Resources NL,WGR,Westgold Resources Limited
24/1/08,RRL,Regis Resources NL,RRL,Regis Resources Limited
23/1/08,AOE,Arrow Energy NL,AOE,Arrow Energy Limited
23/1/08,MAA,Medec Limited,ATW,ATOS Wellness Ltd
21/1/08,LBY,Liberty Resources NL,LBY,Liberty Resources Limited
16/1/08,RHG,Rams Home Loans Group Limited,RHG,RHG Limited
3/1/08,FIC,First Capital Group Limited,RKS,Rockstead Financial Services Limited
