As of*,Old details,,New details,
7/07/2016,BNE,Bone Medical Limited,BOT,Botanix Pharmaceuticals Ltd
6/07/2016,NSP,Nusep Holdings Ltd,MEM,Memphasys Limited
6/07/2016,AWW,Antares Mining Limited,WSI,Weststar Industrial Limited
1/07/2016,ORX,Orrex Resources Limited,NVO,NVOI LTD
29/06/2016,BWF,Blackwall Property Funds Limited,BWF,Blackwall Limited
27/06/2016,CRQ,Credo Resources Limited,VLT,Vault Intelligence Limited
24/06/2016,CPD,Condoto Platinum NL,NMM,Noble Metals Limited
23/06/2016,AJR,Arunta Resources Limited,ST1,Spirit Telecom Limited
23/06/2016,DSH,Dick Smith Holdings Limited,DSH,DSHE Holdings Limited
22/06/2016,IXR,IMX Resources Limited,IDA,Indiana Resources Limited
21/06/2016,PRA,Promesa Limited,THD,Thred Limited
14/06/2016,EUG,Eurogold Limited,BD1,BARD1 Life Sciences Limited
7/06/2016,SWR,Southern Crown Resources Limited,YOJ,Yojee Limited
1/06/2016,PYM,Pryme Energy Ltd,INK,Indago Energy Limited
30/05/2016,SGN,STW Communications Group Limited,WPP,WPP AUNZ Ltd
27/05/2016,BUR,Burleson Energy Ltd,SAS,Sky and Space Global Ltd
27/05/2016,ENU,Enterprise Uranium Limited,AME,Alto Metals Limited
27/05/2016,AOU,Auroch Minerals NL,AOU,Auroch Minerals Ltd
25/05/2016,SFN,Stanfield Funds Management Limited,SW1,Swift Networks Group Limited
24/05/2016,HNR,Hannans Rewards Limited,HNR,Hannans Ltd
20/05/2016,BGC,Bridge Global Capital Management Limited,MJC,Mejority Capital Limited
20/05/2016,AWI,Australasian Wealth Investments Limited,INV,Investsmart Group Limited
16/05/2016,STS,SRG Limited,SRG,SRG Limited
16/05/2016,EXE,Exoma Energy Limited,GGL,The Gruden Group Ltd
10/05/2016,ENX,Enegex NL,ENX,Enegex Limited
10/05/2016,CRX,Crestal Petroleum Limited,FCT,Firstwave Cloud Technology Limited
5/05/2016,TIS,Tissue Therapies Limited,FTT,Factor Therapeutics Limited
3/05/2016,IAF,iShares Composite Bond ETF,IAF,iShares CORE Composite Bond ETF
3/05/2016,IOZ,iShares S&P/ASX 200 ETF,IOZ,iShares CORE S&P/ASX 200 ETF
3/05/2016,IHC,iShares Global Corporate Bond (AUD Hedged) ETF,IHC,iShares Core Global Corporate Bond (AUD Hedged) ETF
2/05/2016,MVA,MARKET VECTORS AUSTRALIAN PROPERTY ETF,MVA,VANECK VECTORS AUSTRALIAN PROPERTY ETF
2/05/2016,MVB,MARKET VECTORS AUSTRALIAN BANKS ETF,MVB,VANECK VECTORS AUSTRALIAN BANKS ETF
2/05/2016,MVR,MARKET VECTORS AUSTRALIAN RESOURCES ETF,MVR,VANECK VECTORS AUSTRALIAN RESOURCES ETF
2/05/2016,MVE,MARKET VECTORS AUSTRALIAN EMERGING RESOURCES ETF,MVE,VANECK VECTORS AUSTRALIAN EMERGING RESOURCES ETF
2/05/2016,MVS,MARKET VECTORS SMALL CAP DIVIDEND PAYERS ETF,MVS,VANECK VECTORS SMALL CAP DIVIDEND PAYERS ETF
2/05/2016,MVW,MARKET VECTORS AUSTRALIAN EQUAL WEIGHT ETF,MVW,VANECK VECTORS AUSTRALIAN EQUAL WEIGHT ETF
2/05/2016,QUA,MARKET VECTORS MSCI WORLD EX AUSTRALIA QUALITY ETF,QUA,VANECK VECTORS MSCI WORLD EX AUSTRALIA QUALITY ETF
2/05/2016,CET,MARKET VECTORS CHINAAMC A-SHARE ETF(SYN),CET,VANECK VECTORS CHINAAMC CSI 300 ETF (SYNTHETIC)
2/05/2016,GDX,MARKET VECTORS GOLD MINERS ETF,GDX,VANECK VECTORS GOLD MINERS ETF
2/05/2016,MOA,MARKET VECTORS MORNINGSTAR WIDE MOAT ETF,MOA,VANECK VECTORS MORNINGSTAR WIDE MOAT ETF
29/04/2016,MPJ,Mining Projects Group Limited,KAI,Kairos Minerals Limited
28/04/2016,FIE,Firestrike Resources Limited,LNU,Linius Technologies Limited
28/04/2016,IVV,iShares Core S&P 500 ETF,IVV,iShares S&P 500 ETF
28/04/2016,IJR,iShares Core S&P Small-Cap ETF,IJR,iShares S&P Small-Cap ETF
28/04/2016,IJH,iShares Core S&P Mid-Cap ETF,IJH,iShares S&P Mid-Cap ETF
26/04/2016,ILH,ILH Group Limited,WAK,Wakenby Limited
18/04/2016,AHA,AG Financial Ltd,EXO,Ennox Group Ltd
14/04/2016,SPI,Spitfire Resources Limited,SPI,Spitfire Materials Ltd
14/04/2016,PBD,PBD Developments Limited,TIA,Tian An Australia Limited
14/04/2016,3DM,3D Medical Limited,M7T,Mach7 Technologies Limited
13/04/2016,MUI,MUI Corporation Limited,SKP,Skyland Petroleum Limited
11/04/2016,PZR,Palace Resources Limited,TKF,TikForce Limited
4/04/2016,RYG,Raya Group Limited,XPE,Xped Limited
1/04/2016,MOZ,Mozambi Resources Ltd,VRC,Volt Resources Limited
31/03/2016,AWO,Ardent Resources Ltd,IOT,IOT Group Limited
30/03/2016,ZNZ,Z Energy Limited,ZEL,Z Energy Limited
29/03/2016,HAZ,Hazelwood Resources Limited,ATA,ATC Alloys Ltd
29/03/2016,CCF,Carbon Conscious Limited,1AG,Alterra Limited
24/03/2016,CQA,Conquest Agri Limited,PCH,Property Connect Holdings Limited
18/03/2016,WPI,West Peak Iron Limited,CIZ,Corizon Limited
17/03/2016,IFZ,Infratil Limited,IFT,Infratil Limited
15/03/2016,SGU,Success Resources Global Ltd,SGU,Success Global Media Limited
4/03/2016,LRR,Leopard Resources NL,G8C,G8 Communications Limited
4/03/2016,KRA,Killara Resources Limited,BMP,BuyMyPlace.com.au Limited
1/03/2016,WAC,Wild Acre Metals Limited,NUH,Nuheara Limited
24/02/2016,VTX,VTX Holdings Limited,WGL,Wangle Technologies Limited
23/02/2016,AWD,Aleator Energy Limited,VNX,Vonex Limited
22/02/2016,DUO,Dourado Resources Limited,ZYB,Zyber Holdings Ltd
19/02/2016,SCY,Sirocco Energy Ltd,ASY,Assemblebay Limited
19/02/2016,NEN,Neon Energy Limited,NEN,Neon Capital Ltd
18/02/2016,CTT,Crest Minerals Limited,FOD,The Food Revolution Group Limited
11/02/2016,MGY,Malagasy Minerals Limited,CMM,Capricorn Metals Ltd
5/02/2016,GAL,Galicia Energy Corporation Ltd,TV2,TV2U International Limited
5/02/2016,KSO,King Solomon Mines Limited,XF1,Xref Limited
4/02/2016,DIV,UBS IQ Research Preferred Australian Dividend Fund,DIV,UBS IQ Morningstar Australian Dividend Yield ETF
4/02/2016,ETF,UBS IQ Research Preferred Australian Share Fund,ETF,UBS IQ Morningstar Australia Quality ETF
3/02/2016,RCM,Reclaim Industries Limited,RNL,Rision Limited
2/02/2016,PGL,Progen Pharmaceuticals Limited,TDL,TBG Diagnostics Limited
2/02/2016,IAT,Iatia Limited,FHM,Freehill Mining Limited
2/02/2016,BIC,Biron Apparel Limited,WNR,Wingara AG Ltd
1/02/2016,TPI,Transpacific Industries Group Ltd,CWY,Cleanaway Waste Management Limited
1/02/2016,MOV,MOV Corporation Limited,LHM,Land and Homes Group Limited
28/01/2016,SFZ,South America Ferro Metals Limited,BUA,Burrabulla Corporation Limited
28/01/2016,MRR,MinRex Resources NL,MRR,MinRex Resources Limited
28/01/2016,GRP,GRP Corporation Limited,TTL,Transcendence Technologies Limited
25/01/2016,MAE,Marion Energy Limited,CR8,Cre8tek Limited
25/01/2016,BUN,Bunuru Corporation Limited,IVQ,Invitrocue Limited
21/01/2016,SHE,Stonehenge Metals Limited,POW,Protean Wave Energy Ltd
20/01/2016,ACE,Advanced Engine Components Limited,OOK,Ookami Limited
18/01/2016,AQR,Aeon Metals Limited,AML,Aeon Metals Limited
15/01/2016,ERR,Enverro Ltd,DTX,Datetix Group Ltd
11/01/2016,PKO,Peak Oil & Gas Limited,PKO,Peako Limited
8/01/2016,VGP,VGP Corporation Limited,R3D,Redchip International Limited
8/01/2016,MYN,Mayan Iron Corporation Limited,ASN,Anson Resources Limited
7/01/2016,AGH,Agri-Trade Holdings Limited,IVS,IVS Holdings Ltd
4/01/2016,SRQ,Straits Resources Limited,AIS,Aeris Resources Limited
