As of*,Old details,,New details,
25/10/2019,ASL,Ausdrill Limited,PRN,Perenti Global Limited
18/10/2019,ABR ,American Pacific Borate & Lithium Ltd,ABR,American Pacific Borates Limited
16/10/2019,PVD,Pure Vida Energy NL,ANA,Ansila Energy NL
15/10/2019,AXL,Axsesstoday Limited,AXL,A.C.N. 603 323 182 Limited
15/10/2019,ACL,Alchemia Limited,APH,Australian Primary Hemp Limited
7/10/2019,S3R,Serpentine Technologies Limited,KTG,K-TIG Limited
27/09/2019,HCO,Hylea Metals Limited,LOT,Lotus Resources Limited
27/09/2019,MIG,Migme Limited,MIG,A.C.N. 059 457 279 Limited
25/09/2019,UWL,Uniti Wireless Limited,UWL,Uniti Group Limited
20/09/2019,TSN,Transaction Solutions International Limited,VOR,Vortiv Limited
19/08/2019,CLY,Clancy Exploration Limited,SG1,Sagon Resources Limited
14/08/2019,IHR,IntelliHR Holdings Limited,IHR,IntelliHR Limited
13/08/2019,NIO,Nickelore Limited,SHE,Stonehorse Energy Limited
8/08/2019,ETE,Entek Energy Limited,XCD,XCD Energy Limited
8/08/2019,BGR,Bronson Group Limited,MAN,Mandrake Resources Limited
1/08/2019,XTV,XTV NETWORKS LTD,NZS,New Zealand and Coastal Seafoods Limited
30/07/2019,ESV,Eservglobal Limited,WJA,Wameja Limited
30/07/2019,TNO,Tando Resources Limited,VR8,Vanadium Resources Limited
29/07/2019,IRC,Intermin Resources Limited,HRZ,Horizon Minerals Limited
26/07/2019,DXN,The Data Exchange Network Limited,DXN,DXN Limited
25/07/2019,A40,Alliance Mineral Assets Limited,A40,Alita Resources Limited
16/07/2019,AYG,Axxis Technology Group Ltd,ECS,ECS Botanics Holdings Ltd
12/07/2019,IOR,IndiOre Ltd,ELE,Elmore Ltd
11/07/2019,CAS,Crusader Resources Limted,BRV,Big River Gold Limited
8/07/2019,KIK,Kairiki Energy Limited,RPM,RPM Automotive Group Limited
3/07/2019,WMC,Wonhe Multimedia Commerce Ltd,BTK,Botai Technology Limited
26/06/2019,TBH,The Betmakers Holdings Ltd,BET,Betmakers Technology Group Ltd
26/06/2019,ARX,Arc Exploration Limited,CYM,Cyprium Metals Limited
25/06/2019,EGS,Eastern Goldfields Limited,OBM,Ora Banda Mining Ltd
24/06/2019,BGS,Birimian Limited,MLL,Mali Lithium Limited
20/06/2019,PGS,Planet Gas Limited,SKY,Sky Metals Limited
19/06/2019,TPE,TPI Enterprises Ltd,PAL,Palla Pharma Limited
13/06/2019,IAU,Intrepid Mines Limited,A1M,AIC Mines Limited
4/06/2019,EXR,Elixir Petroleum Limited,EXR,Elixir Energy Limited
4/06/2019,NAV,Navigator Resources Limited,AFL,AL Legal Group Ltd
29/05/2019,PAK,Pacific American Coal Limited,PAK,Pacific American Holdings Limited
29/05/2019,ESH,Esports Mogul Asia Pacific Limited,ESH,Esports Mogul Limited
27/05/2019,POH,Phosphagenics Limited,AVE,Avecho Biotechnology Limited
23/05/2019,TAU,Trustees Australia Limited,CWZ,Cashwerkz Limited
13/05/2019,BMT,Berkut Minerals Limited,CNB,Carnaby Resources Limited
13/05/2019,CEL,Challenger Energy Limited,CEL,Challenger Exploration Limited
16/04/2019,MGP,Managed Accounts Holdings Limited,XPL,Xplore Wealth Limited
15/04/2019,BUL,Blue Energy Limited,BLU,Blue Energy Limited
12/04/2019,PBT,Prana Biotechnology Ltd,ATH,Alterity Therapeutics Limited
12/04/2019,BUD,Buddy Platform Ltd,BUD,Buddy Technologies Ltd
29/03/2019,PRL,Petrel Energy Limited,WGO,Warrego Energy Limited
20/03/2019,GMY,Goldfields Money Limited,BBC,BNK Banking Corporation Limited
20/03/2019,RGP,Refresh Group Limited,ERG,Eneco Refresh Ltd
7/03/2019,THX,Thundelarra Limited,OAU,Ora Gold Limited
28/02/2019,REL,Raven Energy Limited,GFS,Gasfields Limited
28/02/2019,TYK,Tychean Resources Ltd,DRE,Dreadnought Resources Ltd
20/02/2019,IDR,Industria REIT,ADI,APN Industria REIT
20/02/2019,SW1,Swift Networks Group Limited,SW1,Swift Media Limited
19/02/2019,CRR,Convenience Retail REIT,AQR,APN Convenience Retail REIT
12/02/2019,PMP,PMP Limited,OVT,Ovato Limited
12/02/2019,MKB,Moko Social Media Limited,AZT,Azure Health Technololgy Limited
31/01/2019,LWP,LWP Technologies Limited,TIH,Tillegrah Limited
31/01/2019,TAG,Tag Pacific Limited,MPR,MPower Group Limited
25/01/2019,QBL,Queensland Bauxite Limited,CGB,Cann Global Limited
17/01/2019,CMI,CMI Limited,ECL,Excelsior Capital Ltd
14/01/2019,WGL,Wangle Technologies Limited,FAM,Family Insights Group Limited
14/01/2019,ATT,Ante Real Estate Trust,QPR,Quattro Plus Real Estate
14/01/2019,TTW,TopTung Ltd,CML,Chase Mining Corporatation Limited
9/01/2019,IAB,Inabox Group Limited,IAB,IAB Holdings Limited
